B_r,B_t,B_n,flags,r,b,g,a,PVI
-17.934267,3.4102159,-2.1420233,0,0.4623543965803922,0.5998301116235294,0.9658571917921568,1.0,1.2012986275769093
-18.100414,3.0118835,-4.460135,0,0.4892464079058823,0.6275360555921569,0.9768955097686276,1.0,1.1114172815002692
-17.840372,4.838613,-4.1570077,0,0.4892464079058823,0.6275360555921569,0.9768955097686276,1.0,1.312499915329951
-18.174911,4.2846975,-2.161798,0,0.4838543295999999,0.6220498496,0.9748082026,1.0,1.8998193442215294
-16.283129,8.065793,-3.719253,0,0.4730701729882353,0.6110774376156862,0.970633588262745,1.0,1.6604436875113628
-12.726902,11.867802,-6.1265745,0,0.4676780946823529,0.6055912316235293,0.9685462810941176,1.0,0.7934713418574569
-12.576898,10.648963,-7.492221,0,0.4464306424156863,0.5823564265411765,0.9573733054862744,1.0,0.5828396559585809
-10.563281,13.943775,-5.0777617,0,0.4517385604705882,0.5881809882352941,0.9602012675882352,1.0,0.22710923216247755
-6.18341,16.224035,-2.4562607,0,0.4199907090352941,0.5529885453176471,0.9426303421882352,1.0,1.3487335756975312
-3.949065,15.857172,-6.161208,0,0.4148009028549019,0.5468735270274511,0.939087532337255,1.0,1.8892794988950128
-6.9833603,13.535874,-9.8939705,0,0.4517385604705882,0.5881809882352941,0.9602012675882352,1.0,1.4012666328922307
-8.608617,13.962891,-7.0137277,0,0.4358148063058824,0.5707073031529412,0.951717381282353,1.0,0.33924652600457933
-11.325363,14.014902,-3.2049603,0,0.4570464785254902,0.5940055499294118,0.963029229690196,1.0,0.8697861374531508
-15.547635,9.703414,1.3057697,0,0.4623543965803922,0.5998301116235294,0.9658571917921568,1.0,0.33722870393889054
-16.619047,8.049736,1.6986121,0,0.4730701729882353,0.6110774376156862,0.970633588262745,1.0,0.4447647397786924
-15.664826,9.253529,-2.0124485,0,0.4570464785254902,0.5940055499294118,0.963029229690196,1.0,0.18987558541764374
-8.579044,11.303516,-5.578421,0,0.3139463511294117,0.4200516616941176,0.8549925410352941,1.0,0.9547484266284813
-3.6120071,14.449932,-2.611669,0,0.3090603190666666,0.4134982722666666,0.8501276338666667,1.0,0.8843099851863285
-12.556681,9.8768015,1.5272669,0,0.3483233414117647,0.4657111465098039,0.8883461629411764,1.0,0.8176094878190635
-12.658784,7.966214,1.7866132,0,0.3041742870039216,0.4069448828392156,0.8452627266980393,1.0,0.8940704145841778
-14.320804,8.4825535,-1.3339932,0,0.3785982492705882,0.5038562171921569,0.9136916108470589,1.0,0.7537005167781999
-15.776028,8.552318,-1.9765658,0,0.4464306424156863,0.5823564265411765,0.9573733054862744,1.0,0.8487770676050649
-11.333733,13.658012,-1.2675418,0,0.4358148063058824,0.5707073031529412,0.951717381282353,1.0,1.2542734642274527
-9.673227,14.750714,-3.0532157,0,0.4411227243607843,0.5765318648470589,0.9545453433843136,1.0,1.2703748882905266
-11.9199295,10.763098,-5.634161,0,0.3940416781333333,0.5224134538666667,0.9249162929333332,1.0,0.728349616819758
-15.431199,4.4584403,-6.59274,0,0.4148009028549019,0.5468735270274511,0.939087532337255,1.0,0.5005407182317264
