B_r,B_t,B_n,flags,r,b,g,a,PVI
-109.73915,35.27031,0.21493642,0,0.9473454036,0.7946955048,0.7169905058,1.0,0.16590255981375288
-115.05912,15.938154,10.182567,0,0.9563709270509804,0.7751443261333334,0.6864159483098039,1.0,0.2665517055559395
-109.47868,-1.7018846,25.493067,0,0.925563423,0.8255172980705883,0.7711363078117647,1.0,0.6860496762655593
-108.30541,-10.823876,41.862873,0,0.9563709270509804,0.7751443261333334,0.6864159483098039,1.0,0.6863836541048579
-114.974266,1.0836931,20.711794,0,0.9581760317411764,0.7712340904,0.6803010368117647,1.0,0.1935970103343173
-112.80363,25.08693,1.8684436,0,0.949150508290196,0.7907852690666667,0.7108755943019608,1.0,0.3028006140005632
-102.93805,28.046019,12.522313,0,0.863391831290196,0.8650837958196078,0.8676338842627451,1.0,0.34071570840944965
-103.83837,26.033173,-8.852594,0,0.863391831290196,0.8650837958196078,0.8676338842627451,1.0,0.1878576491829257
-106.1766,-45.840076,14.4414625,0,0.9563709270509804,0.7751443261333334,0.6864159483098039,1.0,0.8582404861516592
-115.69543,7.619847,10.012127,0,0.9545658223607844,0.7790545618666667,0.6925308598078431,1.0,0.3061776286591176
-106.49312,29.94625,-16.087366,0,0.9160705251882352,0.8339773089411765,0.7886928711058824,1.0,0.9406135114447449
-109.24246,24.170717,-8.304593,0,0.9226814526235294,0.8285681381176471,0.7770543897882353,1.0,1.0842642596235066
-109.558754,25.85048,1.9063534,0,0.925563423,0.8255172980705883,0.7711363078117647,1.0,1.0263195992686456
-114.88505,-0.47550967,-16.637722,0,0.9527607176705882,0.7829647976,0.6986457713058823,1.0,0.6585671722793636
-115.02833,-11.761132,14.305568,0,0.9545658223607844,0.7790545618666667,0.6925308598078431,1.0,0.720287392819123
-111.5366,-4.1759686,34.246517,0,0.9563709270509804,0.7751443261333334,0.6864159483098039,1.0,0.8867413360075046
-107.24715,-45.779003,-1.2058365,0,0.9563709270509804,0.7751443261333334,0.6864159483098039,1.0,0.4176131031752747
-108.064674,-34.523914,-26.118296,0,0.9545658223607844,0.7790545618666667,0.6925308598078431,1.0,0.17967563273442622
-103.1127,-40.70445,-8.379036,0,0.9094595977529412,0.8393864797647058,0.8003313524235294,1.0,0.3767197290350076
-101.47983,-52.75618,-3.5589569,0,0.940878943,0.8055964028235294,0.7351665564705883,1.0,2.068941324266567
-111.10079,-15.057334,-22.23705,0,0.940878943,0.8055964028235294,0.7351665564705883,1.0,0.7063610014995175
-106.85694,-35.998196,-26.466572,0,0.9509556129803922,0.7868750333333333,0.7047606828039216,1.0,0.9204020965700564
-110.47131,-24.079832,-21.537304,0,0.9473454036,0.7946955048,0.7169905058,1.0,0.7955525059715397
-104.19352,-25.297817,-27.318213,0,0.906154134035294,0.8420910651764706,0.8061505930823529,1.0,0.8931864932697869
-62.21576,49.485317,-81.13786,0,0.9357737696666666,0.8122367012392158,0.7471564735843139,1.0,1.1353505512322704
-96.34265,-1.3122544,-63.382614,0,0.9473454036,0.7946955048,0.7169905058,1.0,0.8571888313366384
-116.69937,22.477781,-19.49083,0,0.9685329496823528,0.7158412919058823,0.6060967478823529,1.0,0.46024679680609676
-117.14393,26.586685,-14.340391,0,0.9691920510470587,0.705835675717647,0.5937042609803921,1.0,0.859712767307549
-116.0958,30.084953,-15.138371,0,0.968862500364706,0.7108384838117647,0.5999005044313725,1.0,0.9201638755392071
-106.59811,39.621815,-23.194471,0,0.9527607176705882,0.7829647976,0.6986457713058823,1.0,1.0481421333838001
-118.06821,9.047567,-13.254987,0,0.9658988981882352,0.7401418386039216,0.6370577074156862,1.0,0.6914932087224528
-119.43739,11.207281,8.020983,0,0.968203399,0.7208441,0.6122929913333334,1.0,1.318671808077476
-98.93122,-14.940295,-46.808033,0,0.9028486703176472,0.8447956505882352,0.8119698337411765,1.0,1.0179168339857194
-109.704124,-28.740164,-23.004833,0,0.9509556129803922,0.7868750333333333,0.7047606828039216,1.0,0.7354218259177152
-110.76129,-24.819809,-1.9075475,0,0.933221183,0.8155568504470588,0.7531514321411764,1.0,0.2951007100609816
-113.77795,-34.369987,-2.8272836,0,0.9658988981882352,0.7401418386039216,0.6370577074156862,1.0,0.5683582345373375
-92.80057,-63.02379,41.15599,0,0.967544297635294,0.7308497161882352,0.6246854782352941,1.0,1.1187207717510939
-117.563416,-1.1077908,15.013466,0,0.9637718182823528,0.7490855105725491,0.6494200432901962,1.0,0.7119600201014635
-117.970024,-14.330065,21.71691,0,0.968862500364706,0.7108384838117647,0.5999005044313725,1.0,0.8649061620599976
-114.85963,-6.192167,-3.5468566,0,0.9473454036,0.7946955048,0.7169905058,1.0,1.33843341013575
-114.55751,-16.51813,29.423267,0,0.9669624381411764,0.7356700026196078,0.6308765394784314,1.0,1.428126481832809
-113.78201,4.0915813,23.209425,0,0.9527607176705882,0.7829647976,0.6986457713058823,1.0,1.5094875759457944
-106.40929,42.10272,26.910656,0,0.9605811984235294,0.7625010185254902,0.6679635471019607,1.0,0.6773804681776463
-106.08688,40.410076,24.932528,0,0.9527607176705882,0.7829647976,0.6986457713058823,1.0,0.6391436835859075
-90.084114,70.78482,28.066233,0,0.9616447383764706,0.7580291825411765,0.6617823791647058,1.0,0.6374787163325832
-92.74299,72.49286,15.855652,0,0.964835358235294,0.7446136745882352,0.6432388753529412,1.0,1.5835545318200195
-75.05364,92.558495,7.009707,0,0.9669624381411764,0.7356700026196078,0.6308765394784314,1.0,1.9639042161377747
-93.79375,73.16364,-1.4970447,0,0.9658988981882352,0.7401418386039216,0.6370577074156862,1.0,1.4299065063362704
-105.80091,53.08452,-14.543605,0,0.9669624381411764,0.7356700026196078,0.6308765394784314,1.0,1.2138011650565883
-104.63823,46.026733,-1.6887405,0,0.940878943,0.8055964028235294,0.7351665564705883,1.0,0.2320608611550901
-107.334175,-27.118992,-4.573865,0,0.906154134035294,0.8420910651764706,0.8061505930823529,1.0,0.9153861966290356
-110.53426,-29.433172,-2.4786615,0,0.940878943,0.8055964028235294,0.7351665564705883,1.0,0.6722058977900927
-99.765366,-17.357788,17.855722,0,0.7960638698588236,0.8486932057882353,0.9334714683058823,1.0,0.34590380516127806
-109.22191,0.28367478,43.76963,0,0.9605811984235294,0.7625010185254902,0.6679635471019607,1.0,0.36346718304966263
-111.6338,39.743683,-13.444965,0,0.9669624381411764,0.7356700026196078,0.6308765394784314,1.0,0.6687236575584485
-112.90405,29.612762,-21.208431,0,0.964835358235294,0.7446136745882352,0.6432388753529412,1.0,1.5487791652242122
-117.92835,13.500505,-0.58962584,0,0.964835358235294,0.7446136745882352,0.6432388753529412,1.0,1.0196720543430842
-114.08031,-0.7028708,13.2502365,0,0.945540298909804,0.7986057405333333,0.7231054172980392,1.0,1.0523060713661114
-113.039024,8.206168,21.892508,0,0.949150508290196,0.7907852690666667,0.7108755943019608,1.0,2.0256797255108916
-114.6263,8.300664,16.291763,0,0.9527607176705882,0.7829647976,0.6986457713058823,1.0,0.8439037293027588
-96.569725,-67.27193,-0.20988211,0,0.9605811984235294,0.7625010185254902,0.6679635471019607,1.0,1.0926834821602918
-111.87993,-49.836517,-18.6806,0,0.966922105,0.6519686451529412,0.5319971156235295,1.0,1.1001657757991283
-108.64537,-56.428036,-25.803078,0,0.9627007247333332,0.628217751,0.5076360996,1.0,1.5876109258912152
-69.79546,-106.90105,-24.457804,0,0.9343054549058823,0.525917511654902,0.4122864740431373,1.0,2.0756460469153217
-116.13915,-41.15828,-7.1288695,0,0.9677109263333332,0.6629730124627451,0.5443231858352942,1.0,1.326645851186459
-124.13964,-14.369983,38.075237,0,0.9293571382941176,0.512253534745098,0.4006727431568627,1.0,0.6364110079162315
-114.76226,-31.196074,50.15064,0,0.9417279298235294,0.5464134770196079,0.429707070372549,1.0,0.9044042272974221
-98.30964,-29.772047,73.13909,0,0.9593847296274508,0.6103057604117648,0.4893818509411765,1.0,0.6315447150399247
-110.4498,-1.9118328,49.399532,0,0.9691920510470587,0.705835675717647,0.5937042609803921,1.0,0.1842100088418222
-99.64071,5.2927504,63.415955,0,0.9627082783294116,0.7535573465568628,0.655601211227451,1.0,0.8456251908206961
-119.69284,-18.283998,-2.7821522,0,0.9691920510470587,0.705835675717647,0.5937042609803921,1.0,0.699435345297783
-121.50877,-6.7015734,-2.7325041,0,0.9698511524117648,0.6958300595294117,0.5813117740784314,1.0,0.40576195623371464
-114.32675,-22.828085,36.0758,0,0.9696829796666666,0.6904839307372549,0.5751383613647059,1.0,0.9982719391349225
-115.57872,2.7285573,39.65475,0,0.969288569,0.6849817470823529,0.5689753262588235,1.0,1.7024493971742793
-123.2202,13.627311,14.591943,0,0.963806056435294,0.6341884145294118,0.5137208491529413,1.0,0.705352244669978
-119.85731,25.911106,7.488258,0,0.9684997476666668,0.673977379772549,0.5566492560470588,1.0,0.7240122822283876
-119.59953,19.33769,0.6094948,0,0.9691920510470587,0.705835675717647,0.5937042609803921,1.0,0.30419701996253046
-122.77803,11.054447,-18.461023,0,0.9649113881372549,0.6401590780588234,0.5198055987058824,1.0,0.7654225592471318
