B_r,B_t,B_n,flags,r,b,g,a,PVI
-72.11058,29.522278,38.616886,0,0.9193759889058823,0.8312727235294118,0.7828736304470588,1.0,0.26643282976180455
-66.75568,32.03073,48.460636,0,0.933221183,0.8155568504470588,0.7531514321411764,1.0,0.4548612360825151
-67.94194,32.037476,35.53892,0,0.8755573874313726,0.860242158862745,0.8514300660980393,1.0,0.3706284349573338
-77.846504,4.1934147,31.582455,0,0.8877520159490196,0.8540404974980391,0.8346714722156863,1.0,0.6086728000354993
-78.64107,9.820777,27.740828,0,0.8877520159490196,0.8540404974980391,0.8346714722156863,1.0,0.6497693318021142
-75.588646,30.872572,23.394087,0,0.8995432066000001,0.8475002359999999,0.8177890744,1.0,0.7074706417158899
-73.27038,32.98496,22.5254,0,0.8796222636039216,0.8581749384078431,0.845843868137255,1.0,0.3965167674950205
-66.037384,49.458088,22.567484,0,0.906154134035294,0.8420910651764706,0.8061505930823529,1.0,0.5080463987552449
-82.56826,26.362314,3.86374,0,0.9160705251882352,0.8339773089411765,0.7886928711058824,1.0,0.16309054146930804
-59.3757,42.148666,21.046955,0,0.777377532854902,0.8409212149490196,0.9461493015921568,1.0,0.8399171863121225
-44.93545,58.301525,29.72671,0,0.8267843164705883,0.8582053555372549,0.906952644627451,1.0,0.7954853059023556
-62.353004,53.24505,18.726685,0,0.8877520159490196,0.8540404974980391,0.8346714722156863,1.0,0.7914303602014424
-76.8311,21.806494,19.089315,0,0.863391831290196,0.8650837958196078,0.8676338842627451,1.0,1.3209743448397646
-79.91437,17.174643,3.095806,0,0.8593850998705882,0.8644309674588235,0.8721105307882353,1.0,1.4680197027817783
-79.9349,-1.1162524,8.932276,0,0.839351442772549,0.861166825654902,0.8944937634156863,1.0,1.1011864317335636
-75.62615,24.042477,21.11052,0,0.863391831290196,0.8650837958196078,0.8676338842627451,1.0,1.3935659615709195
-77.222626,10.746882,6.878819,0,0.8136925818823529,0.8542818385490196,0.918480102509804,1.0,0.5002277272926848
-52.131683,0.40821126,-51.413597,0,0.7388259949411764,0.8225716218235294,0.9682610638235294,1.0,1.3379872157572985
