B_r,B_t,B_n,flags,r,b,g,a,PVI
-73.62758,11.309267,9.0301,0,0.9028486703176472,0.8447956505882352,0.8119698337411765,1.0,
-73.87646,10.128976,7.460016,0,0.9028486703176472,0.8447956505882352,0.8119698337411765,1.0,
-73.94646,6.6767273,3.7198098,0,0.8918168921215687,0.8519732770431372,0.829085274254902,1.0,
-74.322525,3.591206,0.94319594,0,0.8958817682941177,0.8499060565882353,0.8234990762941177,1.0,
-71.79214,2.4599278,-9.586997,0,0.8593850998705882,0.8644309674588235,0.8721105307882353,1.0,
-73.79521,0.5075119,0.88826925,0,0.8836871397764705,0.8561077179529412,0.8402576701764708,1.0,
-74.41761,9.549171,6.5597987,0,0.906154134035294,0.8420910651764706,0.8061505930823529,1.0,
-74.654854,6.0279884,5.719026,0,0.906154134035294,0.8420910651764706,0.8061505930823529,1.0,
-74.75395,11.58724,5.101086,0,0.9160705251882352,0.8339773089411765,0.7886928711058824,1.0,
-74.34813,15.24681,0.5247851,0,0.9160705251882352,0.8339773089411765,0.7886928711058824,1.0,
-71.77966,23.147459,-0.10968806,0,0.9094595977529412,0.8393864797647058,0.8003313524235294,1.0,
-71.5589,23.111526,-1.5123435,0,0.906154134035294,0.8420910651764706,0.8061505930823529,1.0,
-72.36948,20.763107,5.5551414,0,0.9094595977529412,0.8393864797647058,0.8003313524235294,1.0,
-71.78084,19.527187,8.390505,0,0.9028486703176472,0.8447956505882352,0.8119698337411765,1.0,
-72.44333,20.969484,2.6833193,0,0.9094595977529412,0.8393864797647058,0.8003313524235294,1.0,
-72.950836,19.054823,3.4564314,0,0.9094595977529412,0.8393864797647058,0.8003313524235294,1.0,
-73.438805,16.232967,4.470169,0,0.9094595977529412,0.8393864797647058,0.8003313524235294,1.0,
-71.6302,22.98902,-0.43724948,0,0.906154134035294,0.8420910651764706,0.8061505930823529,1.0,
-68.7397,31.035065,-5.3107305,0,0.9127650614705882,0.8366818943529412,0.7945121117647058,1.0,
-68.0928,31.852919,-1.8627138,0,0.906154134035294,0.8420910651764706,0.8061505930823529,1.0,
-69.35933,15.322124,4.946491,0,0.839351442772549,0.861166825654902,0.8944937634156863,1.0,
-72.862114,7.0038066,0.5771379,0,0.8755573874313726,0.860242158862745,0.8514300660980393,1.0,
-73.918076,-5.629548,1.5025283,0,0.8918168921215687,0.8519732770431372,0.829085274254902,1.0,
-74.783516,-9.944663,3.281079,0,0.9094595977529412,0.8393864797647058,0.8003313524235294,1.0,
-75.04293,-10.415631,5.9117513,0,0.9160705251882352,0.8339773089411765,0.7886928711058824,1.0,
-69.23566,-22.08565,10.67028,0,0.8796222636039216,0.8581749384078431,0.845843868137255,1.0,
