B_r,B_t,B_n,flags,r,b,g,a,PVI
-108.720795,14.787209,-5.7627554,0,0.7851533046784314,0.2208510887215686,0.2116728770078431,1.0,
-108.18671,9.141774,-9.915545,0,0.7959375394862745,0.2418452853411764,0.2208297491333333,1.0,
-108.601074,11.877447,-8.282177,0,0.7905615319411765,0.2313969990588235,0.2162420382941176,1.0,
-109.94914,10.756172,-7.5610585,0,0.7743368501529412,0.1997592680470588,0.2025345544352941,1.0,
-109.32565,9.853279,-7.486531,0,0.7851533046784314,0.2208510887215686,0.2116728770078431,1.0,
-106.5815,9.014526,-10.039833,0,0.8155083866078432,0.2777809871764706,0.2402935656666666,1.0,
-101.619736,10.019111,-21.636747,0,0.848040402364706,0.3382800379764708,0.2752056394588237,1.0,
-92.891884,12.99617,-35.401512,0,0.8883904907411765,0.417702917490196,0.3278979110039215,1.0,
-96.10524,11.826989,-20.908464,0,0.8995343807254902,0.4406918021568627,0.3441068632352941,1.0,
-96.61246,-2.7214286,-32.6281,0,0.8734022825529412,0.3869596390588235,0.3063324639764706,1.0,
-96.65787,-7.7277517,-31.404648,0,0.8734022825529412,0.3869596390588235,0.3063324639764706,1.0,
-97.2801,-0.9497147,-34.59623,0,0.8610536002941176,0.3629157635294118,0.2906281271764706,1.0,
-100.89187,-6.808151,-23.709848,0,0.8523781350078431,0.3464919464941176,0.2803464686980392,1.0,
-103.714066,-7.3544216,-22.621365,0,0.8252938101686275,0.2957488380941176,0.2500254739333333,1.0,
-101.13124,-6.1882715,-25.47938,0,0.848040402364706,0.3382800379764708,0.2752056394588237,1.0,
-100.32738,-9.342651,-23.826982,0,0.8567158676509804,0.3547038550117647,0.2854872979372549,1.0,
-97.69277,-7.8510723,-24.771029,0,0.8808963866470588,0.4023312782745098,0.3171151874901961,1.0,
-97.71028,-1.0303069,-25.318907,0,0.8808963866470588,0.4023312782745098,0.3171151874901961,1.0,
-98.07898,-5.8064537,-28.155878,0,0.8696552305058823,0.3792738194509804,0.3009411022196078,1.0,
-96.37911,-7.6790476,-32.23626,0,0.8734022825529412,0.3869596390588235,0.3063324639764706,1.0,
-97.212494,-9.617234,-28.864927,0,0.8734022825529412,0.3869596390588235,0.3063324639764706,1.0,
-100.8608,-5.9161563,-24.797686,0,0.8523781350078431,0.3464919464941176,0.2803464686980392,1.0,
-102.78378,-7.545789,-22.299822,0,0.8393649370784314,0.3218562209411764,0.2649239809803921,1.0,
-104.653946,-6.217712,-16.62661,0,0.8301865219490197,0.3047327635529411,0.2548914280666666,1.0,
-104.4928,-6.9897504,-19.473179,0,0.8252938101686275,0.2957488380941176,0.2500254739333333,1.0,
-103.16642,-5.600938,-19.272133,0,0.8437026697215686,0.3300681294588235,0.2700648102196078,1.0,
-105.31275,-3.06705,-20.551785,0,0.8155083866078432,0.2777809871764706,0.2402935656666666,1.0,
-105.45087,-5.1273108,-23.90043,0,0.8057229630470588,0.2598131362588235,0.2305616574,1.0,
-108.15249,-6.3510904,-22.831165,0,0.7743368501529412,0.1997592680470588,0.2025345544352941,1.0,
-105.44451,-2.1743295,-22.320715,0,0.810615674827451,0.268797061717647,0.2354276115333333,1.0,
-104.80385,-6.1306787,-19.932451,0,0.8204010983882353,0.2867649126352941,0.2451595198,1.0,
-105.0166,-10.088751,-20.081057,0,0.8155083866078432,0.2777809871764706,0.2402935656666666,1.0,
-103.02886,-11.565768,-20.505682,0,0.8350272044352941,0.3136443124235294,0.2597831517411764,1.0,
-100.64143,-6.936368,-29.985622,0,0.8393649370784314,0.3218562209411764,0.2649239809803921,1.0,
-100.743744,-9.421197,-33.246292,0,0.8252938101686275,0.2957488380941176,0.2500254739333333,1.0,
-101.223915,-9.248367,-33.50058,0,0.8204010983882353,0.2867649126352941,0.2451595198,1.0,
-103.29783,-8.903988,-33.845222,0,0.7959375394862745,0.2418452853411764,0.2208297491333333,1.0,
-103.02658,-9.194659,-33.41541,0,0.8008302512666666,0.2508292108,0.2256957032666666,1.0,
-94.51963,-15.055489,-38.910645,0,0.8610536002941176,0.3629157635294118,0.2906281271764706,1.0,
-90.514915,-21.4042,-42.798397,0,0.8696552305058823,0.3792738194509804,0.3009411022196078,1.0,
-94.196945,-20.495726,-38.470497,0,0.8567158676509804,0.3547038550117647,0.2854872979372549,1.0,
-94.37187,-18.907587,-40.3533,0,0.848040402364706,0.3382800379764708,0.2752056394588237,1.0,
-94.34082,-19.073288,-37.9903,0,0.8567158676509804,0.3547038550117647,0.2854872979372549,1.0,
-79.016304,-30.376474,-51.118153,0,0.8995343807254902,0.4406918021568627,0.3441068632352941,1.0,
-86.06401,-29.672781,-41.14307,0,0.8921375427882353,0.4253887370980392,0.3332892727607843,1.0,
-84.01649,-31.395706,-40.08748,0,0.9057834780117648,0.4551856921647059,0.3553358838470588,1.0,
-93.32357,-9.519609,-42.878845,0,0.8610536002941176,0.3629157635294118,0.2906281271764706,1.0,
-83.89667,-16.999767,-44.03755,0,0.921406221227451,0.4914204171843137,0.3834084353764705,1.0,
-88.44991,-15.710996,-43.64352,0,0.8921375427882353,0.4253887370980392,0.3332892727607843,1.0,
-84.46214,-15.869382,-46.79774,0,0.908908026654902,0.4624326371686276,0.3609503941529413,1.0,
-83.05779,-13.211066,-53.363598,0,0.8958845948352941,0.4330745567058823,0.3386806345176471,1.0,
-82.02595,-12.148744,-56.59367,0,0.8883904907411765,0.417702917490196,0.3278979110039215,1.0,
-97.46181,-4.6166787,-47.01997,0,0.8057229630470588,0.2598131362588235,0.2305616574,1.0,
-95.29444,-5.3271008,-49.16759,0,0.8155083866078432,0.2777809871764706,0.2402935656666666,1.0,
-95.80017,-4.2341137,-49.947216,0,0.8057229630470588,0.2598131362588235,0.2305616574,1.0,
-94.30759,-3.5199993,-51.50022,0,0.8155083866078432,0.2777809871764706,0.2402935656666666,1.0,
-86.59647,-5.085837,-59.177402,0,0.8437026697215686,0.3300681294588235,0.2700648102196078,1.0,
-88.47519,-4.533357,-57.131794,0,0.8393649370784314,0.3218562209411764,0.2649239809803921,1.0,
-86.048485,-3.7893746,-62.58624,0,0.8252938101686275,0.2957488380941176,0.2500254739333333,1.0,
-86.2883,-0.561899,-66.79386,0,0.7959375394862745,0.2418452853411764,0.2208297491333333,1.0,
-91.25695,-2.8931582,-58.02364,0,0.8057229630470588,0.2598131362588235,0.2305616574,1.0,
-93.15411,1.8139625,-55.75648,0,0.8008302512666666,0.2508292108,0.2256957032666666,1.0,
-92.961525,-1.2109506,-54.82289,0,0.810615674827451,0.268797061717647,0.2354276115333333,1.0,
-95.87986,1.7381912,-49.8961,0,0.8057229630470588,0.2598131362588235,0.2305616574,1.0,
-95.36646,4.6956053,-47.16459,0,0.8252938101686275,0.2957488380941176,0.2500254739333333,1.0,
-96.68802,7.8896923,-47.139656,0,0.810615674827451,0.268797061717647,0.2354276115333333,1.0,
-98.312355,9.219462,-41.8114,0,0.8155083866078432,0.2777809871764706,0.2402935656666666,1.0,
-102.70893,10.6485615,-31.355015,0,0.810615674827451,0.268797061717647,0.2354276115333333,1.0,
-98.84102,15.181563,-40.46216,0,0.810615674827451,0.268797061717647,0.2354276115333333,1.0,
-97.72747,24.696684,-40.797783,0,0.8008302512666666,0.2508292108,0.2256957032666666,1.0,
-98.08713,14.238589,-44.43874,0,0.8008302512666666,0.2508292108,0.2256957032666666,1.0,
-97.38306,-1.1116445,-43.031384,0,0.8252938101686275,0.2957488380941176,0.2500254739333333,1.0,
-94.09779,4.227158,-47.088608,0,0.8393649370784314,0.3218562209411764,0.2649239809803921,1.0,
-97.77824,0.65558535,-45.23697,0,0.810615674827451,0.268797061717647,0.2354276115333333,1.0,
-91.46403,7.0200114,-44.954144,0,0.8734022825529412,0.3869596390588235,0.3063324639764706,1.0,
-94.90029,8.697538,-33.827957,0,0.8808963866470588,0.4023312782745098,0.3171151874901961,1.0,
-95.74688,15.640699,-34.874462,0,0.8610536002941176,0.3629157635294118,0.2906281271764706,1.0,
-93.065056,10.42358,-40.021523,0,0.8734022825529412,0.3869596390588235,0.3063324639764706,1.0,
-95.54886,10.971418,-39.206154,0,0.8523781350078431,0.3464919464941176,0.2803464686980392,1.0,
-93.09475,8.636407,-45.482414,0,0.8523781350078431,0.3464919464941176,0.2803464686980392,1.0,
-90.05156,-6.1939545,-46.12867,0,0.8771493346,0.3946454586666666,0.3117238257333333,1.0,
-91.54468,9.697198,-40.613506,0,0.8846434386941177,0.4100170978823529,0.3225065492470588,1.0,
-90.02878,5.859128,-48.548866,0,0.8696552305058823,0.3792738194509804,0.3009411022196078,1.0,
-90.55381,0.99468595,-48.524025,0,0.8653913329372549,0.3711276720470588,0.2957689564156863,1.0,
-93.501076,-3.2994616,-44.51753,0,0.8567158676509804,0.3547038550117647,0.2854872979372549,1.0,
-96.34668,-5.5949783,-39.286285,0,0.8523781350078431,0.3464919464941176,0.2803464686980392,1.0,
-89.494095,-4.0400786,-51.509678,0,0.8610536002941176,0.3629157635294118,0.2906281271764706,1.0,
-82.94854,18.911045,-55.60597,0,0.8771493346,0.3946454586666666,0.3117238257333333,1.0,
-85.45323,4.2484493,-56.119377,0,0.8696552305058823,0.3792738194509804,0.3009411022196078,1.0,
-81.60016,-0.97519165,-54.203094,0,0.908908026654902,0.4624326371686276,0.3609503941529413,1.0,
-82.19063,-14.287444,-39.732704,0,0.9440545734235294,0.5531534787490197,0.4355484903137255,1.0,
-85.32032,-23.154394,-28.420256,0,0.9417279298235294,0.5464134770196079,0.429707070372549,1.0,
-82.58849,-8.0182085,-38.099884,0,0.9476541841529412,0.5659764341686274,0.4474781480392157,1.0,
-47.123333,7.8864255,-85.98441,0,0.9057834780117648,0.4551856921647059,0.3553358838470588,1.0,
-89.25834,-23.868008,-31.994556,0,0.908908026654902,0.4624326371686276,0.3609503941529413,1.0,
-80.69917,-21.364391,-36.9319,0,0.9494539895176471,0.5723879118784315,0.453442976901961,1.0,
-83.85553,-18.063646,-28.879107,0,0.951253794882353,0.5787993895882353,0.4594078057647059,1.0,
-87.93002,-17.595758,-22.507645,0,0.9440545734235294,0.5531534787490197,0.4355484903137255,1.0,
-94.01213,-2.7800984,-32.55559,0,0.8958845948352941,0.4330745567058823,0.3386806345176471,1.0,
-89.30039,-9.869742,-37.389217,0,0.9120325752980392,0.469679582172549,0.3665649044588235,1.0,
-84.627655,-22.031506,-37.65164,0,0.9268829799882352,0.5054215462901961,0.3948658777137255,1.0,
-80.02359,-10.168041,-54.877666,0,0.9120325752980392,0.469679582172549,0.3665649044588235,1.0,
-83.64171,-7.52374,-50.770355,0,0.9057834780117648,0.4551856921647059,0.3553358838470588,1.0,
-94.18477,2.5843854,-35.389355,0,0.8846434386941177,0.4100170978823529,0.3225065492470588,1.0,
-95.17649,5.2405176,-34.958416,0,0.8771493346,0.3946454586666666,0.3117238257333333,1.0,
-95.89282,5.858989,-34.679768,0,0.8734022825529412,0.3869596390588235,0.3063324639764706,1.0,
-94.96795,-2.4847083,-31.934427,0,0.8883904907411765,0.417702917490196,0.3278979110039215,1.0,
-91.19762,-4.5006185,-38.064533,0,0.8995343807254902,0.4406918021568627,0.3441068632352941,1.0,
-93.31247,-1.1373607,-36.094505,0,0.8921375427882353,0.4253887370980392,0.3332892727607843,1.0,
-91.91166,-1.2790668,-39.50285,0,0.8921375427882353,0.4253887370980392,0.3332892727607843,1.0,
-92.72315,0.6040363,-37.188274,0,0.8921375427882353,0.4253887370980392,0.3332892727607843,1.0,
-93.70985,0.3450835,-39.967667,0,0.8734022825529412,0.3869596390588235,0.3063324639764706,1.0,
-97.797,0.8867337,-32.44705,0,0.8610536002941176,0.3629157635294118,0.2906281271764706,1.0,
-107.02209,13.316064,-20.588463,0,0.7851533046784314,0.2208510887215686,0.2116728770078431,1.0,
-107.48407,15.715808,-27.166792,0,0.758112168364706,0.1681215370352941,0.1888270705764705,1.0,
-109.056885,15.192717,-24.98653,0,0.7468380122117647,0.1400210194823529,0.1799960969568627,1.0,
-106.90002,13.944446,-27.425457,0,0.7689286228901963,0.1892133577098042,0.1979653931490197,1.0,
