B_r,B_t,B_n,flags,r,b,g,a,PVI
24.049875,3.5558782,4.915728,8,0.9566532109764706,0.598033822717647,0.4773022923529412,1.0,
24.395552,1.6988032,4.695434,8,0.9548534056117648,0.5916223450078432,0.4713374634901961,1.0,
24.389236,3.0964503,4.6113596,8,0.9530536002470588,0.5852108672980392,0.465372634627451,1.0,
23.492046,5.356337,3.2510154,8,0.963806056435294,0.6341884145294118,0.5137208491529413,1.0,
22.56627,4.957215,4.751913,8,0.969288569,0.6849817470823529,0.5689753262588235,1.0,
22.788395,5.89861,3.6915452,8,0.968105337,0.6684751961176472,0.5504862209411766,1.0,
23.025095,5.936882,3.1752303,8,0.9673165156666668,0.6574708288078431,0.5381601507294118,1.0,
21.062881,8.8957615,1.8868835,8,0.968203399,0.7208441,0.6122929913333334,1.0,
21.668833,7.8987303,2.4483843,8,0.9691920510470587,0.705835675717647,0.5937042609803921,1.0,
24.009693,3.3635921,5.0837455,8,0.9582793979254902,0.604335096882353,0.4832971013882353,1.0,
24.159262,1.7880629,6.275838,8,0.9530536002470588,0.5852108672980392,0.465372634627451,1.0,
24.484007,2.0802343,5.5483193,8,0.9494539895176471,0.5723879118784315,0.453442976901961,1.0,
23.99829,1.2011702,6.172206,8,0.9566532109764706,0.598033822717647,0.4773022923529412,1.0,
23.46191,-0.97024316,7.477156,8,0.9593847296274508,0.6103057604117648,0.4893818509411765,1.0,
23.433535,-0.5353912,8.167061,8,0.9566532109764706,0.598033822717647,0.4773022923529412,1.0,
23.923462,0.16261539,7.446975,8,0.9530536002470588,0.5852108672980392,0.465372634627451,1.0,
24.310957,0.8532009,6.3054447,8,0.951253794882353,0.5787993895882353,0.4594078057647059,1.0,
24.272446,-0.34113604,7.1211505,8,0.9476541841529412,0.5659764341686274,0.4474781480392157,1.0,
24.256504,-1.577107,7.972173,8,0.9392537715176472,0.5395814885647059,0.4239002049294118,1.0,
23.890068,-0.9698887,8.436242,8,0.9458543787882352,0.5595649564588235,0.4415133191764706,1.0,
23.76364,0.6605417,8.796666,8,0.9458543787882352,0.5595649564588235,0.4415133191764706,1.0,
23.403242,0.16651838,9.067291,8,0.951253794882353,0.5787993895882353,0.4594078057647059,1.0,
23.730608,0.710511,9.109071,8,0.9440545734235294,0.5531534787490197,0.4355484903137255,1.0,
23.407547,0.22524823,9.405528,8,0.9494539895176471,0.5723879118784315,0.453442976901961,1.0,
23.291668,1.4000527,9.45947,8,0.9494539895176471,0.5723879118784315,0.453442976901961,1.0,
23.374296,1.5714022,7.744989,8,0.9593847296274508,0.6103057604117648,0.4893818509411765,1.0,
23.288969,2.1981227,7.370402,8,0.9615953930313724,0.6222470874705882,0.5015513500470589,1.0,
23.148941,1.7162986,7.9917603,8,0.9604900613294116,0.6162764239411764,0.4954666004941176,1.0,
23.29355,1.7601765,5.7865334,8,0.966922105,0.6519686451529412,0.5319971156235295,1.0,
23.716465,1.742787,6.1162224,8,0.9604900613294116,0.6162764239411764,0.4954666004941176,1.0,
23.635727,1.5980804,6.1517076,8,0.9615953930313724,0.6222470874705882,0.5015513500470589,1.0,
23.667078,1.4354322,5.5644383,8,0.963806056435294,0.6341884145294118,0.5137208491529413,1.0,
23.490717,2.2144585,5.3203683,8,0.9660167198392156,0.6461297415882352,0.5258903482588235,1.0,
23.604082,4.12195,2.6695297,8,0.966922105,0.6519686451529412,0.5319971156235295,1.0,
23.294825,-0.92704254,6.2987494,8,0.9660167198392156,0.6461297415882352,0.5258903482588235,1.0,
