B_r,B_t,B_n,flags,r,b,g,a,PVI
-35.98643,11.076688,-5.9246016,0,0.8653913329372549,0.3711276720470588,0.2957689564156863,1.0,0.7648406860898466
-35.291595,6.8309603,-12.482821,0,0.8696552305058823,0.3792738194509804,0.3009411022196078,1.0,0.5736229029731656
-34.04416,7.019381,-14.770286,0,0.8771493346,0.3946454586666666,0.3117238257333333,1.0,0.848111679439742
-35.359097,5.62886,-11.467511,0,0.8846434386941177,0.4100170978823529,0.3225065492470588,1.0,0.504726735990427
-33.350548,4.944694,-17.531427,0,0.8696552305058823,0.3792738194509804,0.3009411022196078,1.0,1.2318623066974645
-29.640976,9.216126,-20.177649,0,0.9026589293686276,0.4479387471607843,0.3497213735411765,1.0,1.6552862519287816
-28.654036,9.164377,-21.935966,0,0.8958845948352941,0.4330745567058823,0.3386806345176471,1.0,1.890572496024677
-29.537289,19.914366,-3.955195,0,0.9343054549058823,0.525917511654902,0.4122864740431373,1.0,0.1784836790727548
-29.441406,13.182374,-15.396309,0,0.9343054549058823,0.525917511654902,0.4122864740431373,1.0,0.6165431234154402
-33.70255,13.6139145,6.2411394,0,0.9057834780117648,0.4551856921647059,0.3553358838470588,1.0,0.8810053364194692
-32.238728,12.931474,13.523696,0,0.8958845948352941,0.4330745567058823,0.3386806345176471,1.0,0.7273979472466646
-32.160618,11.115945,16.694576,0,0.8734022825529412,0.3869596390588235,0.3063324639764706,1.0,0.6116856180824295
-28.97506,23.190826,-2.4083054,0,0.8995343807254902,0.4406918021568627,0.3441068632352941,1.0,0.6114326592933531
-26.857737,24.496513,-10.323167,0,0.8771493346,0.3946454586666666,0.3117238257333333,1.0,0.7070834261392382
-23.17999,19.612818,-7.206947,0,0.9616447383764706,0.7580291825411765,0.6617823791647058,1.0,0.68147974147519
-31.298979,21.777708,1.5171593,0,0.8653913329372549,0.3711276720470588,0.2957689564156863,1.0,0.6139203544372244
-36.324245,11.757274,4.8557873,0,0.8523781350078431,0.3464919464941176,0.2803464686980392,1.0,0.5119482534314337
-36.332207,13.526575,0.7929565,0,0.8393649370784314,0.3218562209411764,0.2649239809803921,1.0,0.25480307251141404
-35.4836,14.279711,-4.6478477,0,0.8523781350078431,0.3464919464941176,0.2803464686980392,1.0,0.18564485058148308
-35.427452,12.838019,-7.5162334,0,0.8567158676509804,0.3547038550117647,0.2854872979372549,1.0,0.3993013829456805
-31.601562,19.333948,-10.852011,0,0.848040402364706,0.3382800379764708,0.2752056394588237,1.0,0.27856818337380596
-35.631187,12.929296,-5.57276,0,0.8610536002941176,0.3629157635294118,0.2906281271764706,1.0,0.18205987287345324
-34.093517,15.915874,-3.2910643,0,0.8771493346,0.3946454586666666,0.3117238257333333,1.0,0.33864525025953046
-33.187695,15.705199,-1.9568579,0,0.908908026654902,0.4624326371686276,0.3609503941529413,1.0,0.5123517447254863
