B_r,B_t,B_n,flags,r,b,g,a,PVI
-20.314884,38.044506,-3.734376,0,0.9595176584705882,0.7669728545098039,0.6741447150392157,1.0,0.877675943593351
-31.957773,30.400028,-10.517271,0,0.969288569,0.6849817470823529,0.5689753262588235,1.0,0.20840589911088112
-36.03083,27.406864,-12.382814,0,0.9593847296274508,0.6103057604117648,0.4893818509411765,1.0,0.22675172510710603
-35.37284,27.481184,-14.273798,0,0.9582793979254902,0.604335096882353,0.4832971013882353,1.0,0.28728245486130083
-35.14516,28.570364,-11.448696,0,0.9615953930313724,0.6222470874705882,0.5015513500470589,1.0,0.3032343441523171
-33.28268,31.067438,-8.538459,0,0.9649113881372549,0.6401590780588234,0.5198055987058824,1.0,0.15989848692042655
-33.129772,31.953321,-7.396157,0,0.9615953930313724,0.6222470874705882,0.5015513500470589,1.0,0.4430716373287358
-33.42088,30.338633,-11.603691,0,0.9627007247333332,0.628217751,0.5076360996,1.0,0.2150193120368976
-33.08094,30.928127,-11.346178,0,0.9615953930313724,0.6222470874705882,0.5015513500470589,1.0,0.21029851237215014
-31.823238,32.16168,-9.279278,0,0.9660167198392156,0.6461297415882352,0.5258903482588235,1.0,0.3024502805547823
-33.373222,30.359344,-5.808318,0,0.9688941583333334,0.679479563427451,0.5628122911529412,1.0,0.5091073865130484
-31.7922,29.699688,-14.763351,0,0.9673165156666668,0.6574708288078431,0.5381601507294118,1.0,0.27250896241240025
-33.356358,27.781048,-14.406266,0,0.968105337,0.6684751961176472,0.5504862209411766,1.0,0.20670799921917055
-33.48447,27.78938,-13.285224,0,0.9688941583333334,0.679479563427451,0.5628122911529412,1.0,0.04747266426320851
-34.053234,28.011454,-11.788047,0,0.968105337,0.6684751961176472,0.5504862209411766,1.0,0.16419886785488277
-36.27139,24.79913,-12.243541,0,0.9684997476666668,0.673977379772549,0.5566492560470588,1.0,0.3835340456973841
-34.72305,27.1113,-11.963396,0,0.968105337,0.6684751961176472,0.5504862209411766,1.0,0.4652619485928639
-34.773468,28.031857,-11.054099,0,0.966922105,0.6519686451529412,0.5319971156235295,1.0,0.43060540175657946
-34.20285,27.401604,-13.096854,0,0.968105337,0.6684751961176472,0.5504862209411766,1.0,0.4222931280537244
-34.585182,29.957184,-9.707536,0,0.9604900613294116,0.6162764239411764,0.4954666004941176,1.0,0.32546565805426003
