B_r,B_t,B_n,flags,r,b,g,a,PVI
-46.702328,50.187115,-3.3010678,0,0.705673158,0.01555616,0.150232812,1.0,1.421842725501232
-45.590076,48.141865,2.2674456,0,0.758112168364706,0.1681215370352941,0.1888270705764705,1.0,0.6804787006346819
-40.390945,32.647358,6.475737,0,0.9582793979254902,0.604335096882353,0.4832971013882353,1.0,1.2227984147713618
-44.285942,27.495377,14.38796,0,0.9458543787882352,0.5595649564588235,0.4415133191764706,1.0,2.453056914153295
-59.21501,26.16229,17.603107,0,0.7409573187529412,0.1222403252705882,0.1757441991058823,1.0,2.8181180439828855
-54.60274,35.496452,12.164861,0,0.758112168364706,0.1681215370352941,0.1888270705764705,1.0,2.585580368463914
-45.265846,48.732834,13.1330385,0,0.7233152383764706,0.0688982426352941,0.1629885055529411,1.0,0.8438435360001425
-40.810425,50.713303,13.968618,0,0.7527039411019608,0.1575756266980392,0.1842579092901961,1.0,2.1365613680619027
-26.474237,61.748463,7.344311,0,0.7291959318352941,0.0866789368470588,0.1672404034039215,1.0,3.430165212668019
-26.772062,57.423836,19.2851,0,0.758112168364706,0.1681215370352941,0.1888270705764705,1.0,2.2839295279374134
-22.80964,61.660522,8.204077,0,0.758112168364706,0.1681215370352941,0.1888270705764705,1.0,3.0421877855316954
-49.883762,38.435844,20.542345,0,0.758112168364706,0.1681215370352941,0.1888270705764705,1.0,0.8453097083335267
-54.94658,24.582705,30.871906,0,0.7233152383764706,0.0688982426352941,0.1629885055529411,1.0,0.6708422919010096
-54.33682,21.730457,32.517483,0,0.7409573187529412,0.1222403252705882,0.1757441991058823,1.0,0.6442447923860455
-51.24514,31.832645,28.299091,0,0.7468380122117647,0.1400210194823529,0.1799960969568627,1.0,0.7286000671194538
-53.33939,30.24853,29.416447,0,0.717434544917647,0.0511175484235293,0.1587366077019607,1.0,0.6576570613347421
-52.693974,29.35872,30.16489,0,0.7291959318352941,0.0866789368470588,0.1672404034039215,1.0,1.4175876912108527
-47.449776,30.86389,35.29087,0,0.7468380122117647,0.1400210194823529,0.1799960969568627,1.0,2.6479093439103374
-51.130116,30.618038,28.39946,0,0.763520395627451,0.178667447372549,0.1933962318627451,1.0,2.512003343460803
-57.173203,28.80117,18.731516,0,0.7468380122117647,0.1400210194823529,0.1799960969568627,1.0,2.2462778136609156
-55.919582,28.755299,19.326244,0,0.7689286228901963,0.1892133577098042,0.1979653931490197,1.0,2.4274721584216272
-55.165157,34.90311,8.313397,0,0.7689286228901963,0.1892133577098042,0.1979653931490197,1.0,1.3918657116603066
-55.119587,36.048607,-6.047114,0,0.758112168364706,0.1681215370352941,0.1888270705764705,1.0,0.8168509480381271
-53.307487,41.130016,-10.3279085,0,0.717434544917647,0.0511175484235293,0.1587366077019607,1.0,0.9680056214756821
-54.70787,37.271736,-16.105358,0,0.717434544917647,0.0511175484235293,0.1587366077019607,1.0,0.9076402844989748
-57.50837,31.236675,-19.397175,0,0.7115538514588235,0.0333368542117646,0.1544847098509804,1.0,0.4887153410201771
-57.58857,31.838806,-13.608649,0,0.7350766252941177,0.1044596310588235,0.1714923012549019,1.0,0.9602602368681218
-58.040096,28.189419,-16.071169,0,0.7527039411019608,0.1575756266980392,0.1842579092901961,1.0,0.6479613224760856
-56.463154,28.697487,-19.00564,0,0.758112168364706,0.1681215370352941,0.1888270705764705,1.0,0.32728776352944766
-59.44024,23.596697,-17.308664,0,0.758112168364706,0.1681215370352941,0.1888270705764705,1.0,0.13315506477017075
-52.79346,34.132744,-24.921024,0,0.7291959318352941,0.0866789368470588,0.1672404034039215,1.0,0.3108515682524008
-50.439274,35.59637,-26.67673,0,0.7350766252941177,0.1044596310588235,0.1714923012549019,1.0,0.44532672907023824
-53.726173,31.094702,-25.038261,0,0.7409573187529412,0.1222403252705882,0.1757441991058823,1.0,0.7455846376717548
-57.584293,24.922802,-22.456856,0,0.7468380122117647,0.1400210194823529,0.1799960969568627,1.0,1.2956685422901442
-59.38601,22.808077,-19.286821,0,0.7527039411019608,0.1575756266980392,0.1842579092901961,1.0,1.6957413264438213
-53.81008,34.454777,-20.06362,0,0.7409573187529412,0.1222403252705882,0.1757441991058823,1.0,1.1067652843444469
-51.400013,38.239067,-20.130661,0,0.7350766252941177,0.1044596310588235,0.1714923012549019,1.0,0.5355676178359131
-50.28169,40.66694,-18.81038,0,0.7350766252941177,0.1044596310588235,0.1714923012549019,1.0,0.539617916737507
-49.370945,42.534084,-15.242116,0,0.7409573187529412,0.1222403252705882,0.1757441991058823,1.0,0.5157144216325238
-46.808968,46.014935,-13.022765,0,0.7409573187529412,0.1222403252705882,0.1757441991058823,1.0,1.0757787610641152
-43.194614,48.34295,-17.245,0,0.7409573187529412,0.1222403252705882,0.1757441991058823,1.0,3.2181884166706003
-45.302204,44.042862,-21.72627,0,0.7468380122117647,0.1400210194823529,0.1799960969568627,1.0,1.4274143466289917
-53.757393,36.32457,-12.208018,0,0.763520395627451,0.178667447372549,0.1933962318627451,1.0,0.3980282122284485
