B_r,B_t,B_n,flags,r,b,g,a,PVI
-134.10594,-32.587517,5.387886,0,0.9582793979254902,0.604335096882353,0.4832971013882353,1.0,0.4871426550863171
-129.47824,-41.376076,8.36604,0,0.963806056435294,0.6341884145294118,0.5137208491529413,1.0,0.9919133384095604
-137.85452,-2.61995,-2.1582012,0,0.9582793979254902,0.604335096882353,0.4832971013882353,1.0,0.7998029817622259
-141.00687,3.0640748,-1.4888115,0,0.9440545734235294,0.5531534787490197,0.4355484903137255,1.0,0.6763329010513672
-134.61331,-37.424984,20.398748,0,0.9417279298235294,0.5464134770196079,0.429707070372549,1.0,0.4009839063026143
-135.3775,-24.88841,26.860353,0,0.9476541841529412,0.5659764341686274,0.4474781480392157,1.0,0.7174573835483974
-127.332466,-4.1189723,36.13975,0,0.9696829796666666,0.6904839307372549,0.5751383613647059,1.0,0.6793945376209596
-133.8273,-39.883087,-3.651443,0,0.9494539895176471,0.5723879118784315,0.453442976901961,1.0,0.5871368774374075
-137.29257,-27.165213,7.3715005,0,0.9476541841529412,0.5659764341686274,0.4474781480392157,1.0,0.4039024307001765
-130.75172,-35.572212,2.0872898,0,0.9649113881372549,0.6401590780588234,0.5198055987058824,1.0,0.10521882420801282
-138.72612,-21.567928,-6.455489,0,0.9458543787882352,0.5595649564588235,0.4415133191764706,1.0,0.6222281658337365
-139.43704,-16.58925,9.43372,0,0.9458543787882352,0.5595649564588235,0.4415133191764706,1.0,0.2764264012279945
-138.16118,-13.559873,3.170614,0,0.9548534056117648,0.5916223450078432,0.4713374634901961,1.0,0.5660458777115274
-138.7365,-16.555674,-8.254558,0,0.9494539895176471,0.5723879118784315,0.453442976901961,1.0,0.9610818864768642
-134.62238,-38.360813,0.82538146,0,0.9494539895176471,0.5723879118784315,0.453442976901961,1.0,1.2801581412221268
-132.43282,-46.88936,6.6134434,0,0.9458543787882352,0.5595649564588235,0.4415133191764706,1.0,0.728727610621511
-139.84396,-27.60908,2.617172,0,0.9343054549058823,0.525917511654902,0.4122864740431373,1.0,0.36180906231336263
-138.95534,-14.074088,29.700665,0,0.9318312966,0.5190855232,0.4064796086,1.0,0.8789219389906701
-137.69328,-7.7259617,35.93348,0,0.9343054549058823,0.525917511654902,0.4122864740431373,1.0,1.4409226335163947
-131.69388,-8.04345,52.56357,0,0.9367796132117648,0.5327495001098039,0.4180933394862745,1.0,2.54014781142197
-138.46349,-13.259946,7.466131,0,0.951253794882353,0.5787993895882353,0.4594078057647059,1.0,0.6255916572544546
-138.44112,-14.919573,-8.560321,0,0.951253794882353,0.5787993895882353,0.4594078057647059,1.0,0.7793508141618688
-139.92113,3.6759226,-7.48979,0,0.9476541841529412,0.5659764341686274,0.4474781480392157,1.0,1.303715456980095
-138.10101,16.282534,-27.234272,0,0.9392537715176472,0.5395814885647059,0.4239002049294118,1.0,0.9537228495133437
-125.03037,8.507515,-65.22284,0,0.9417279298235294,0.5464134770196079,0.429707070372549,1.0,0.3564991481449215
-135.83478,-26.12448,-18.771296,0,0.951253794882353,0.5787993895882353,0.4594078057647059,1.0,1.0694118561531611
-125.81138,9.525035,-32.62072,0,0.9685329496823528,0.7158412919058823,0.6060967478823529,1.0,0.6056458583399088
-125.97231,49.04277,-46.034832,0,0.9318312966,0.5190855232,0.4064796086,1.0,0.7165546721375385
-121.15622,32.303593,-65.40286,0,0.9417279298235294,0.5464134770196079,0.429707070372549,1.0,0.4365867775602245
-130.52596,16.757608,-51.75907,0,0.9417279298235294,0.5464134770196079,0.429707070372549,1.0,0.6206385611649599
-133.13477,10.483846,-52.9471,0,0.9268829799882352,0.5054215462901961,0.3948658777137255,1.0,0.7341429138576666
