vp_r,vp_t,vp_n,np,wp
-1e+31,-1e+31,-1e+31,-1e+31,-1e+31
305.5208,0.6358308,-5.3109813,84.845604,24.114983
305.9219,-1.4690387,-4.1197915,90.18368,26.235617
303.20963,8.567784,-7.28859,77.35837,22.386427
300.41147,0.62990797,-9.992171,96.36994,33.049496
307.69858,3.3508,-8.193739,85.97332,24.077343
304.5654,6.6765103,-4.080094,97.836235,29.76129
310.59238,3.8220177,-4.9753003,87.43861,24.408255
309.0754,0.43498325,-1.806996,93.24519,26.697966
304.88892,14.999302,-0.030238774,90.868515,27.531689
310.034,5.977968,-3.7580085,83.05749,25.29218
307.9271,14.742041,2.261868,92.68941,28.066774
306.0094,0.31185645,-3.791214,98.01965,31.103708
308.08862,-8.898477,3.5098484,88.971985,25.884434
301.88965,-5.156764,5.467988,104.22749,33.767517
307.65833,2.7339227,5.2373786,94.40567,27.92019
306.62073,8.5251045,5.8500032,94.04636,25.798817
300.92072,-3.3776438,1.8494134,84.90511,23.112715
300.81485,7.3325815,-1.2672483,82.60752,21.466532
303.14893,0.23451725,10.029256,90.6176,24.632336
301.14517,4.31837,3.2601416,94.641525,26.954605
301.3112,0.32969984,0.50126094,95.47598,31.530754
302.21024,8.246027,-1.5221883,104.94495,28.87048
301.98444,7.224528,-0.7193209,98.80777,35.035553
304.4669,-1.1574007,4.093667,88.62269,22.807293
304.4037,6.1441374,-1.6131841,90.16877,21.590878
303.50946,1.1672755,4.442861,88.01955,24.16617
307.15515,14.921735,-0.53495276,92.46326,26.807373
301.7448,1.2717888,1.0790063,88.51948,25.41544
303.63425,4.732343,-13.56259,91.5692,25.760118
304.62927,-0.2430171,5.7942595,95.479576,34.451046
307.6408,-2.8317232,9.049713,84.60444,25.149317
309.81238,-4.9678807,-1.7240723,78.57861,23.348047
308.33426,10.028357,-3.2517648,84.31699,25.882484
303.64838,1.8338903,-7.9073715,84.46839,25.953596
311.29205,-0.4062607,-0.7358296,80.57891,26.216738
303.10037,-8.245554,2.750085,85.375305,29.561401
308.68906,-1.725011,11.679432,79.49184,24.62222
305.6838,-5.5220904,0.3805121,95.02096,34.344296
303.2329,6.025886,-4.548705,94.872185,34.432198
306.7465,-3.8082242,5.3980737,83.42293,28.160053
300.94562,4.090615,7.6984296,94.19098,35.704174
298.73468,14.984922,3.50459,87.95159,26.719973
300.5454,-12.24805,-0.26159066,97.87258,31.61731
307.2458,4.250208,-8.273009,86.76188,29.560276
306.45944,1.4168669,1.8074046,74.25035,26.127657
311.02304,-9.572391,0.98067105,70.25393,24.403456
308.58093,-10.140898,-0.21545412,71.67195,24.80576
306.40628,-3.7772686,5.591537,82.723976,34.93438
312.3504,-14.538561,-7.8173103,75.83773,27.529367
305.44348,-1.7924796,1.8928037,74.57089,24.663612
308.7011,-19.03218,-6.714597,80.334625,26.166218
304.69348,-6.944905,3.0607395,88.26374,43.103905
311.04016,-20.772003,9.902697,88.6216,36.88403
307.7395,8.207824,-3.012859,99.666855,35.181538
314.01794,0.1329149,-6.7963753,80.08399,32.65184
315.32312,-8.491864,-5.420792,81.76706,26.686436
316.17557,-7.484625,-2.342361,84.03523,26.630392
314.63815,0.33810073,-14.821755,82.75204,28.512096
310.52762,-3.2377188,-2.302163,81.52411,26.515875
314.3832,-26.069084,-8.657477,87.24127,32.929344
310.20084,-1.4870979,-4.7997255,86.240974,29.972374
