vp_r,vp_t,vp_n,np,wp
410.08408,-0.05815789,2.2487068,41.217308,44.983574
418.49957,-23.276964,-70.08655,48.83167,53.101894
410.23737,-1.7132831,-45.30026,45.411243,49.78665
410.22787,-24.533667,-44.314728,49.022377,48.11721
418.47263,-21.114418,-65.19229,48.181942,54.157196
425.0968,-34.41479,-88.21838,49.803955,58.643093
449.06085,-15.897303,-112.343124,54.5074,63.56033
448.6881,-28.954287,-112.53263,55.67692,66.09336
428.97702,1.880778,-63.236355,50.94152,62.230515
422.6223,15.943466,-2.9464378,46.959206,57.08369
419.88126,8.460202,16.203188,45.418865,52.776066
435.99246,-3.3579166,65.04597,50.888023,62.846004
436.86536,-8.457788,69.96285,54.702305,64.54844
455.90985,47.333096,-20.637325,56.50422,73.54569
449.95776,54.051975,14.867752,50.531246,63.24801
438.21213,29.346931,42.592384,49.283974,63.17968
440.01123,46.180027,-22.110289,48.736225,63.590153
417.44067,-0.17567348,16.538616,42.239647,47.8182
418.4435,8.955551,-5.53884,42.435356,47.633278
418.31378,1.0635241,-19.27399,45.5179,51.162167
424.3127,14.199741,-21.150105,41.847683,60.94437
443.84683,44.94647,-47.01665,48.353542,60.307564
425.0573,12.973019,-55.56617,49.575542,59.74457
426.76822,27.899021,-8.487098,47.33115,65.31
450.02325,43.895473,-48.072292,53.993507,64.957756
430.2073,-2.4922864,-72.496056,52.96678,65.412834
416.66428,-15.161898,-42.807484,46.97783,50.9421
417.75757,5.5996966,-8.973861,46.88574,55.80171
418.42502,3.1645,11.279614,44.00894,50.70433
434.03976,-6.2125254,-74.87951,49.12478,60.922573
423.60593,18.115194,-27.538473,48.867428,58.101643
433.23,28.262556,16.284708,48.535755,64.960236
439.3878,31.131905,-26.517458,50.801792,66.17528
436.00317,42.04076,6.9509125,50.54111,68.5432
416.737,8.138141,-29.459257,46.12379,57.684532
426.2219,16.071077,-60.289658,48.28667,57.39125
422.39462,16.605185,-46.603294,44.438725,52.670788
437.36298,32.0927,-67.7427,55.673443,62.290813
428.82224,40.117825,-19.945702,40.073994,51.060497
427.50992,-19.477667,-89.631615,50.766582,59.468338
428.72458,4.52762,-62.473076,52.069355,60.21553
435.21945,30.92816,35.140053,52.160503,65.211914
420.93283,16.556618,10.512239,47.061787,54.817883
424.57336,28.422194,18.6943,42.865154,54.6087
438.61996,24.227318,56.175926,48.178417,58.55471
429.02997,23.622797,37.81994,48.747734,56.52371
417.2365,27.269518,9.995895,46.52386,55.574863
409.02496,-12.903806,-16.46837,44.470993,48.618954
433.6856,43.80914,5.0631614,47.23899,61.657734
427.4491,38.07313,7.427214,45.364265,58.567707
437.2923,40.351547,27.305882,48.9856,60.92047
429.977,41.69076,22.357597,50.007885,62.64084
412.75864,2.3290002,36.942673,40.911522,47.032154
433.67783,50.071674,-4.0380216,44.929348,69.9312
446.3933,61.708485,31.27505,47.507072,61.062008
428.90604,53.543407,13.304459,45.825848,62.564247
430.997,30.259691,60.59605,52.65615,77.569244
437.37906,33.848324,50.43624,48.113464,63.81076
444.7083,38.410645,57.609737,48.580334,60.56953
440.6356,59.454353,11.259912,46.51199,60.375538
441.91418,61.95918,19.552477,44.688854,60.973183
488.04953,78.081245,-2.2278988,48.885548,58.623592
496.74258,76.7561,19.97275,47.513107,57.951813
459.20514,74.13109,4.0990996,52.900642,65.596985
405.2963,-20.764572,15.392586,47.88659,54.577457
472.29025,35.436005,74.6798,51.696033,60.651672
410.19214,-20.978918,6.9759483,50.830513,48.1359
405.90256,-17.951601,29.445736,44.34207,50.81326
398.61972,-40.67273,13.571301,46.279552,45.941093
405.84695,5.8964314,-4.1718783,42.366108,45.767876
407.10382,23.268675,-31.38163,43.67544,49.567326
447.0526,63.451347,-41.217926,54.301235,63.763615
450.13437,68.588356,-32.344006,50.568977,61.022034
426.5692,51.39089,1.8519554,50.941666,64.938126
431.66357,58.659492,-28.961338,48.199955,63.83364
449.7712,58.319622,46.90653,53.404613,66.804794
421.12012,-39.128586,45.278927,51.528885,59.908806
408.19455,9.755758,-9.864392,47.36349,50.911602
