vp_r,vp_t,vp_n,np,wp
290.31915,-4.531304,-7.7846212,75.68703,51.696354
293.23703,11.362558,-17.926844,73.20282,48.907658
300.9879,22.643404,-22.034094,65.439125,46.671833
298.14487,24.805908,-31.988457,80.102196,47.83679
296.7635,29.114168,-38.076622,86.48595,58.628586
297.00717,24.967049,-25.409147,78.58318,60.35726
310.39322,15.292357,-1.8729013,71.57003,52.349247
314.91092,15.837059,2.8615143,68.137375,49.48913
318.45404,19.08836,6.727268,62.635372,42.665154
321.7814,20.054607,-5.8194757,66.36794,46.734913
312.45184,23.00389,-5.683285,68.315475,47.356194
302.01993,10.033342,10.918528,76.166985,57.38794
304.69165,7.948127,11.208823,73.30735,51.464638
306.16,30.042784,-5.786911,72.410576,47.867462
302.70035,28.105347,0.6495713,76.475365,52.75387
300.29855,18.28224,6.5245194,78.31781,53.909527
307.968,21.542383,5.1531863,82.22137,55.86981
313.17795,14.034422,11.203492,69.1795,43.28799
300.8264,24.483746,-1.4260365,84.923325,58.133533
302.5499,21.838564,11.150287,76.81641,51.567
301.93097,22.681116,6.5466576,75.70561,57.158154
306.59442,27.557617,29.701202,75.67921,48.450657
302.81024,11.486304,19.972778,78.04336,51.32011
297.07355,20.749008,12.844438,78.19421,53.822224
298.23376,16.966505,24.700396,77.93171,45.702583
298.49,18.117702,41.400684,80.63112,53.85976
299.732,12.289755,31.435179,75.704346,44.624214
305.6251,20.727962,30.759237,76.6213,46.376057
287.04843,-7.4028606,9.829893,86.25922,50.85081
304.88116,7.8533664,20.304338,75.91736,50.68554
306.6995,7.837572,32.924904,76.497444,50.72285
302.27908,10.613209,22.222359,77.91355,54.37646
297.2135,36.107147,14.6863575,59.28489,44.836643
302.3466,7.7493777,30.560658,74.706474,50.855614
291.71683,12.988638,22.19953,85.80199,52.530926
306.25452,27.458597,27.707994,74.50396,47.917725
305.945,20.666492,13.861093,74.789635,48.61721
303.10544,8.385834,25.288877,71.48242,43.615356
284.25647,4.1914086,9.682138,88.77406,55.96693
297.6244,6.335153,25.207235,73.87918,45.754948
296.41406,4.079053,21.33724,75.18912,45.584026
294.42316,4.5496593,19.157028,82.39855,49.45165
298.60498,9.844326,33.85306,79.596466,49.243145
301.9876,22.200922,25.284317,78.807686,49.918854
304.91904,3.5202503,30.437185,82.66048,51.308914
309.98706,3.9367886,24.359383,73.12464,54.404537
307.45334,-9.070351,23.78808,76.63198,51.288986
309.35132,-6.3290796,29.073051,73.14483,50.79406
306.42554,-14.55098,32.27249,78.82349,50.582687
311.46536,-7.0543256,28.911963,69.755035,46.109966
312.1588,-34.27381,19.342047,74.076164,46.20167
306.8489,-25.57925,35.914566,84.54322,57.193645
313.1536,-36.000263,33.38853,77.593506,51.56075
305.46667,-33.245453,30.611063,87.51585,54.591885
304.4138,-17.766497,38.946495,86.58132,54.355366
308.02667,-30.631233,26.747707,83.72842,49.50877
295.41684,-22.763325,11.680845,99.48778,61.689865
309.6136,-15.252393,22.96735,74.23765,45.62954
307.3097,-32.808598,32.112827,80.93404,49.297142
307.00217,-14.079404,27.152292,74.4004,47.30688
307.96466,-28.216354,36.875393,82.97622,50.943756
301.10962,-38.83725,13.524262,82.853905,52.177757
312.29587,-22.98589,30.08866,74.122444,44.87531
299.02454,-18.951502,52.671795,87.41669,60.25248
299.58942,-24.371004,40.555412,87.10981,57.938774
307.06226,5.7747564,32.26264,66.16757,52.332153
319.03384,-2.2042034,61.490993,77.26664,49.053017
306.77957,-8.785916,54.28847,87.63826,56.34206
303.2457,-18.330454,37.336376,81.19143,51.58464
309.1249,-3.7807708,40.64821,77.568146,50.572773
319.03824,24.40197,9.283908,76.98846,47.378147
326.10513,10.725424,52.164173,81.90348,57.641743
322.9108,3.164693,48.55215,74.471756,51.447033
331.45688,-0.095596746,26.304272,71.288246,48.491768
335.36786,40.069256,12.449166,69.1987,51.67415
336.0888,37.75911,1.4130371,68.57062,50.731136
328.8407,43.529938,10.19594,80.85648,53.387283
331.4854,24.285946,12.682374,73.1286,52.365826
331.28415,33.80389,21.564201,68.301125,50.09432
336.12946,38.342987,20.892206,64.7268,45.639572
323.5046,30.839783,9.850455,81.14486,62.68949
347.63937,42.930363,11.801698,78.273575,60.400513
332.7474,36.141087,-2.028991,75.397446,47.28852
332.6271,45.66095,32.71082,78.15515,68.234
339.91898,57.0668,22.474983,78.76877,58.43048
342.2806,53.169144,14.659878,74.10319,57.466915
333.80322,58.32169,7.874995,80.38225,62.51039
348.04623,64.90755,10.058398,80.88488,61.004726
343.64752,54.35127,12.270207,72.5166,61.076916
338.4194,58.12615,8.85783,76.6246,59.67845
342.71854,69.326096,3.1926222,65.234634,51.44315
342.30356,53.88636,1.0131167,77.41287,60.426556
335.1706,43.74802,8.980086,80.51929,62.530224
337.77994,46.8626,-8.794746,77.17338,62.847027
353.9685,53.21131,10.548316,70.774956,61.48645
363.43518,54.050705,6.34119,74.71223,58.114227
357.19907,40.619034,5.7142086,73.909256,63.194813
361.4851,42.94276,8.729833,71.68993,62.507042
356.8991,51.68648,4.0764103,62.035973,59.64608
361.96106,45.84602,4.7119565,70.837265,60.361942
328.0804,48.66388,9.685101,65.846214,51.60725
352.76254,67.00147,18.970219,73.643814,58.09121
364.81876,44.471424,19.222158,65.47028,55.630573
359.80865,41.235996,10.178122,73.86401,64.215034
368.45264,73.07081,17.575558,64.08382,52.299545
378.51834,58.03031,24.573591,77.682915,66.28375
364.9303,61.20273,21.035454,73.68768,56.373913
