vp_r,vp_t,vp_n,np,wp
229.13167,57.988277,-6.2663503,147.78612,13.244247
223.96309,35.10851,-20.133314,328.55634,23.388874
221.1628,22.44947,-27.2211,463.56436,33.172726
220.26671,22.759922,-21.92828,309.4828,19.45228
218.97134,37.606335,-23.271622,386.15848,29.875406
203.57053,40.338104,-18.143892,279.7837,17.267105
206.0475,13.105724,-23.905006,367.48425,21.211115
226.0735,19.42943,-34.42313,453.24133,29.91538
219.25066,3.986092,-31.737747,606.5427,32.86595
325.20953,-1e+31,-1e+31,-1e+31,-1e+31
226.48315,7.6875205,-32.556305,485.99216,35.50431
226.0731,22.563225,-36.65992,378.15396,24.36558
327.014,-1e+31,-1e+31,-1e+31,42.6384
-1e+31,-1e+31,-1e+31,-1e+31,-1e+31
233.12646,23.79189,-19.420563,384.30408,30.012774
242.21144,22.339525,-25.756256,377.36053,34.62043
232.28645,44.626293,-19.21207,314.75684,26.474615
238.34924,29.593359,-34.624767,216.14839,14.9335575
234.15253,3.7178319,-19.9899,372.60385,24.388012
228.42186,11.578169,-33.39748,355.79156,23.505245
226.38919,23.019936,-25.125233,387.9613,30.788774
344.8123,97.250084,3.3569312,438.1052,24.908321
220.45374,42.205692,-15.752389,397.38226,32.565277
228.85791,15.57696,-26.47079,412.1496,28.317719
219.27849,42.13664,-14.718421,299.17746,25.390263
227.2307,20.654938,-16.657951,343.39233,24.468702
226.10922,18.97316,-44.574947,347.49707,22.101233
216.24919,-1e+31,-1e+31,-1e+31,11.5927925
209.04077,27.091293,-28.007923,272.81772,17.463642
231.17235,35.320614,-24.79379,361.32486,26.39301
233.22086,23.491915,-27.493996,442.779,32.58128
233.45581,38.85582,-23.339907,297.74017,22.973724
230.45879,11.099221,-35.453224,379.6141,24.577433
224.4697,-1e+31,-1e+31,-1e+31,20.818254
214.06966,19.580864,-17.065014,538.88336,28.224342
205.324,29.840778,-24.239582,411.51904,21.9689
224.38583,51.206135,-17.494268,389.82538,28.413094
