vp_r,vp_t,vp_n,np,wp
-1e+31,-1e+31,-1e+31,-1e+31,-1e+31
261.63385,62.03269,5.9166155,558.719,43.15217
262.26715,61.51341,7.0970154,554.179,45.281673
272.1595,50.219673,9.517838,574.7014,44.675194
251.87798,45.629627,11.071123,602.00745,48.70438
247.85268,57.3953,7.2528586,475.90314,46.722668
277.12473,74.56295,8.173226,525.05347,37.76737
251.00085,60.71839,10.074096,476.33942,40.965397
247.43138,62.87691,9.052924,447.28842,42.150955
246.83476,61.008293,12.147914,448.55762,40.59477
250.387,59.688824,10.955199,435.27008,38.846256
248.57806,57.28327,12.577245,451.4266,38.051704
254.4669,67.268105,13.309141,456.02216,37.724453
254.81903,56.744175,12.297893,467.6043,38.228706
248.04771,60.318634,9.01368,471.91177,38.19127
242.44794,50.77599,-0.7592278,246.08495,31.304369
243.82321,58.78011,5.3151665,454.65182,38.63731
251.3273,54.20829,2.8041422,486.34604,37.420967
253.50511,57.959435,9.012282,499.43326,38.907475
251.73526,55.694763,1.8347405,474.42084,39.13208
249.43349,51.42822,-2.0793831,478.53214,39.194168
246.26604,51.091545,1.1927674,475.49823,39.248924
248.3852,50.20231,1.5513413,482.04343,42.10651
249.49255,50.28671,1.4061973,485.17422,42.843647
250.6286,49.629745,-7.4863954,477.29514,42.269253
237.11436,44.56164,-7.9598255,394.06934,38.82159
252.4875,59.36014,0.28993928,446.10486,35.338985
250.60042,49.261974,2.981655,484.96356,40.539818
244.90189,42.39923,-8.819867,461.82254,42.373543
249.16489,46.073734,-1.820194,451.46854,37.751335
240.1706,41.539764,-8.929026,441.6762,40.663837
251.78807,53.01396,1.9277955,478.8102,40.07674
257.31946,49.709404,1.6458371,476.6241,36.896324
251.67435,56.97078,2.0931804,470.68158,37.721
253.01907,54.578693,1.43018,482.49496,38.489357
259.51056,61.72457,3.9402626,490.2698,37.25356
254.42285,53.724487,1.7040753,496.18524,39.18316
257.9538,45.7246,-1.3513972,510.67676,38.970303
247.86024,52.174522,5.945782,473.09354,37.63078
260.7774,59.126152,5.3178115,495.96982,36.31129
242.4098,60.211353,4.9496007,430.6083,37.18009
239.82832,51.52728,9.177163,419.29968,38.239647
248.12625,55.837105,6.0398,476.4311,38.313587
247.30359,52.630722,6.5920987,468.95377,39.315998
245.35481,55.986443,4.3025026,453.13617,37.68719
243.89224,48.399094,3.6580713,469.2798,39.492176
244.42494,52.02707,4.9371567,459.04987,38.60179
244.83578,54.87667,4.189203,461.36307,39.1486
240.93756,44.474422,-12.80967,260.61533,30.990795
246.5031,48.501896,2.7718081,480.31253,39.716084
243.24031,55.978672,4.626158,449.68594,36.867603
246.219,53.071877,5.095017,475.16013,39.211277
248.5336,56.779537,5.869312,479.9162,37.81549
251.43506,50.64974,4.989642,500.62976,41.157906
254.36292,55.887486,6.313254,499.17413,39.185383
250.63486,56.877758,4.87034,484.30792,39.032516
251.90355,51.937813,7.5008783,517.5375,42.071373
249.07607,47.673943,7.5713434,501.51263,42.51845
255.68094,51.59535,1.1837411,499.5548,38.91036
256.9665,54.240902,4.724623,517.88885,40.28564
252.11362,54.802494,3.5690293,509.5599,43.6196
253.66661,57.45498,1.7994804,511.02386,40.885918
254.99448,60.662754,10.283777,508.89548,39.03835
252.68619,55.870388,8.640009,501.912,39.673656
257.30472,59.396572,8.986195,509.7264,40.95022
263.85635,62.50354,6.100661,507.38446,38.779984
258.7917,62.31209,7.3760314,526.2782,39.976177
255.65279,58.87653,8.298518,506.01593,39.481064
