vp_r,vp_t,vp_n,np,wp
-1e+31,-1e+31,-1e+31,-1e+31,-1e+31
380.05655,-13.09617,42.984444,98.61826,61.008892
388.9927,4.196676,41.182106,92.34607,57.24241
360.76312,-69.67337,12.8172245,95.23614,54.005
384.0989,-31.140324,38.289654,94.12996,57.11856
374.25815,-44.962276,44.971645,92.45271,62.936092
381.2239,-29.367619,41.201885,90.689926,59.693195
406.25522,4.359501,46.89214,90.01385,60.787537
362.18222,-78.02762,16.920607,100.192986,57.708687
352.13303,-71.83708,-5.5480905,95.737366,54.298035
360.54532,-40.62537,-25.47841,83.71011,51.04544
353.02155,-41.64924,-11.916942,81.7039,46.087513
345.8109,-43.60366,-6.4469614,82.32728,43.11705
394.17624,-23.859043,40.49396,81.14589,55.702065
372.2565,-66.86045,28.848429,102.37357,64.17194
390.02332,-20.50222,-32.02839,87.59879,53.9508
370.1935,-78.855965,32.387863,99.400604,61.409443
366.78027,-23.141657,9.452149,77.0083,66.21823
351.98273,-35.634117,22.782167,83.45373,49.831097
398.37683,-25.59535,53.90545,90.37913,57.648933
374.21204,-17.934278,57.63799,89.8581,59.012512
381.45905,8.330192,38.329723,92.09683,58.75116
420.48175,14.925603,36.269238,84.26728,57.573597
396.11957,7.1700873,41.637123,88.161026,58.25271
405.87833,3.9211926,48.182297,86.75467,58.70671
415.3295,12.37986,40.574635,84.420715,55.49779
436.85678,23.027231,31.963781,84.20579,59.172188
446.6792,2.5381632,38.572243,84.39252,63.82204
406.40073,16.613087,34.260147,89.38242,58.42047
434.67242,10.6554165,38.70574,86.84244,58.68283
379.59598,-17.496157,38.05262,97.22899,62.38878
373.64438,-54.07294,45.868603,95.7417,58.996937
370.2949,-21.617792,39.85483,98.462776,63.995586
363.63724,-35.19943,35.637028,92.957466,61.363346
365.97186,-28.816349,42.87495,97.24011,61.08844
373.76752,-2.1044586,16.846462,94.83421,63.30639
381.63235,15.675583,16.905739,93.758965,58.675964
378.22818,-18.901423,49.131775,94.00788,57.49462
359.52844,-37.278656,28.048512,95.78574,60.18567
357.27658,-37.822685,19.708456,93.71596,57.744766
354.85495,-34.11927,20.150167,93.1186,56.901115
374.97946,-9.72576,-45.790432,94.14579,59.61634
359.24057,-13.781506,17.425491,95.05307,60.587765
357.1399,-31.467783,28.902622,95.36579,58.91649
348.19214,-36.534393,5.6912103,82.93929,48.833515
352.78952,-29.437601,25.699432,87.4738,54.111473
360.87793,-25.562836,31.93518,92.78297,58.623848
358.29272,-19.870195,17.054165,92.3688,57.922653
406.0999,-32.647896,37.40822,87.34507,57.54402
371.86392,-41.889973,44.84312,100.7598,63.72892
370.7177,12.3626585,18.422237,82.54538,58.02863
376.25226,11.626564,28.297606,94.30298,54.84993
378.17874,13.714486,26.79985,95.473175,59.344105
374.3665,8.292665,33.53666,92.99373,56.444515
383.6752,15.329026,37.869324,90.99271,54.524544
378.4229,16.230497,27.308231,91.19238,54.972797
394.21555,11.489321,40.336773,88.40418,54.878265
377.92953,-0.6719583,32.323402,95.74748,61.415424
374.76334,3.4046319,18.436657,96.181564,57.585346
392.74323,27.752005,-2.131623,93.01024,55.357224
378.51157,-36.20765,36.8767,94.00163,57.559834
383.58032,-20.48317,39.635,90.10759,56.65448
416.62064,31.828682,25.6357,90.59745,58.242107
376.39706,-31.762758,47.770187,93.932434,55.660416
401.1958,-15.555551,52.522858,85.78368,56.497265
390.7433,-13.691624,46.65872,86.019775,53.3673
425.54648,20.559742,41.449287,83.78688,57.505257
411.68814,18.911287,45.338688,84.580734,55.211624
401.07147,18.72112,40.608925,91.695465,56.318268
362.47562,-47.050888,52.065456,105.85822,63.293736
369.87277,-5.3826704,54.65647,100.27647,59.280926
397.2217,29.597778,20.985355,96.32779,54.34584
396.34958,33.633266,7.3663797,91.16978,52.455524
384.04605,23.222954,28.594645,92.24716,54.36883
389.0828,28.033628,-1.834772,90.96764,54.7886
393.4459,26.165234,12.77059,83.339096,51.706955
372.31888,16.235245,34.907997,90.98387,55.149178
374.36444,23.55306,-13.18468,89.16219,54.239193
381.98795,18.408201,-33.939133,89.972206,56.96431
370.41696,20.044863,0.8748168,90.30633,56.134014
362.92926,30.091557,-0.35612038,87.68147,53.62594
383.03967,34.83848,7.794017,90.20816,56.228607
416.36594,37.92328,15.560456,88.27602,57.82151
417.69727,0.11480924,48.20969,79.690315,62.923428
417.23386,42.620525,-5.2718215,85.84262,54.859226
362.8197,-74.50273,48.13908,95.31197,60.798435
351.69226,-84.47756,55.78213,100.037994,62.74535
344.92267,-60.13374,42.02926,87.9121,56.697353
351.8283,-100.41279,6.205501,107.03121,61.094074
410.11383,36.130157,9.84796,88.66594,56.225906
401.8897,19.265133,-9.179875,92.447365,59.66635
413.73215,37.136734,-13.6344595,91.01747,56.196136
408.9886,11.762813,-35.375587,88.20592,53.710457
421.13907,8.199178,-32.48422,89.499275,58.35273
423.08038,10.58066,-36.82586,88.55501,58.157738
423.28043,-2.347553,-43.202805,88.18702,58.766457
355.65698,15.598783,-18.510424,87.1144,56.77028
353.71448,10.567603,30.230381,83.89581,61.277374
354.54178,17.603718,-1.1631063,81.600975,55.07004
370.04742,-8.694547,-48.403156,88.15904,57.579777
359.05847,16.760445,-2.1809392,87.47433,58.17771
376.8441,22.453747,-11.1080675,84.49638,52.82576
340.6954,-87.244125,36.554943,92.34435,55.542786
337.37027,-65.908966,45.376198,77.95748,54.46281
346.58105,-55.694275,60.938442,82.3626,61.56018
334.67233,-60.69571,42.323166,82.757195,56.98422
329.39447,-34.27841,31.284388,78.32863,45.942158
331.89548,-29.185581,36.826073,73.39683,49.52005
320.67142,-16.016005,-6.095292,64.91696,39.922012
326.46936,-18.122746,28.52815,67.38954,44.7917
322.29633,-27.824045,13.338057,68.51828,42.757423
324.15616,-15.215893,-8.939274,66.81412,42.949894
323.59897,-11.809754,-0.676124,67.39344,42.874107
324.05212,-8.023068,-0.6480182,70.01045,46.636814
330.14322,-15.352422,23.627523,69.795456,47.155415
336.8678,-62.44319,53.093002,72.09664,49.872524
349.03024,-20.049198,56.013874,65.588554,62.98606
332.60922,-60.748756,49.811794,74.80973,51.27349
327.1688,-45.53089,44.10963,69.237564,43.821556
328.33014,-40.0034,49.343365,71.17619,46.370644
322.76175,-52.9556,43.34334,76.68505,50.43926
325.16238,-15.413592,16.136234,74.36786,49.164883
317.67862,-38.325787,19.437958,72.24104,41.815697
315.6337,-41.366558,-2.4226217,70.55561,39.953114
318.71854,-54.32466,-27.934242,77.02197,44.693184
319.36194,-37.683674,11.724536,79.735504,43.81947
333.24002,-39.955566,-34.76046,84.33453,51.188454
331.762,-20.511059,-36.89541,79.03487,51.5777
385.0845,-21.053442,-47.616013,96.024506,61.099903
348.9535,-23.191713,-57.23228,94.44958,56.395557
333.0737,-1.2538954,-11.012104,69.92778,50.198067
344.1695,7.6656523,-17.20869,73.17883,55.53457
349.96674,3.668812,-29.002008,87.82402,57.268143
342.02945,-23.089853,-27.648113,91.25373,56.996555
327.6145,-40.17093,43.84725,88.5682,51.835384
363.92508,-37.055874,-51.828457,94.12304,55.56916
319.35458,-69.15091,2.8500335,69.17525,33.38296
328.50296,-69.20314,-5.9395514,81.26212,49.8014
324.9992,-57.748386,-16.185574,74.00557,43.856335
332.3313,-80.70658,-9.784258,84.97658,51.608345
331.32574,-81.75624,-12.615252,75.92541,45.87468
335.33606,-34.187687,-44.341057,75.10659,47.859562
327.72815,-57.853355,-20.665787,93.67501,48.101063
358.4314,-78.04711,-36.25142,102.49169,59.66182
362.97018,-85.59101,-36.90422,102.15461,58.9746
340.5679,-60.432022,-32.19602,100.06081,56.781677
331.40176,-69.76164,-9.549739,94.75869,49.40959
328.80917,-64.07525,-11.471428,90.8223,48.887806
322.93323,-46.541924,-10.969097,93.445946,47.454918
