vp_r,vp_t,vp_n,np,wp
269.1353,48.048496,13.06917,65.38224,23.17001
260.5662,38.19579,28.920706,61.43959,28.165564
262.78394,49.970566,28.802729,85.440575,40.568577
254.26398,26.333622,46.008404,50.687428,17.96219
224.18715,53.800087,20.929955,94.31619,26.6445
240.60054,21.054625,48.633053,139.38892,6.447754
261.76624,47.479366,32.03455,65.17867,34.607407
251.11687,48.016235,25.20937,44.744144,17.231823
264.40683,55.02556,28.450027,74.11797,44.33939
259.1393,59.29195,21.366678,52.668987,22.89209
261.25082,34.032413,25.448242,43.43764,13.832265
234.86787,27.965256,38.45207,42.38843,12.733755
254.77063,47.87064,25.856836,64.02316,35.02088
250.76082,40.822216,33.326694,93.60258,42.730774
255.88051,58.591503,16.638237,58.844395,28.595987
233.96016,45.36433,45.02633,33.964054,16.886372
243.7146,40.776897,24.438358,71.37085,32.491688
249.20093,41.511173,14.544259,76.165436,32.935707
267.58835,51.24612,10.352085,50.26536,17.811922
252.99318,29.248484,25.587664,88.3364,32.19241
259.96283,27.81494,17.478834,79.19633,38.531204
263.99844,46.01789,18.743765,67.025764,31.360401
243.36029,42.80098,4.2538805,70.09692,24.700747
250.47452,33.67792,10.362018,76.39823,44.43623
247.94653,-78.274994,66.01478,496.58893,42.966232
249.81612,38.69405,18.806707,13.415617,4.050726
248.8865,29.993607,7.102525,98.16315,31.741432
238.9822,14.6813965,39.163242,56.890903,18.570677
244.33829,45.603165,22.815952,49.104458,20.87244
227.06436,15.363986,37.04843,775.0906,17.200054
225.20602,-2.6411457,-4.881579,31.072012,7.9981036
232.38141,20.088959,-4.90391,65.22205,20.392227
229.7716,40.77423,2.6284044,221.94933,15.955917
240.07336,43.072445,18.21955,83.23677,37.853397
351.65872,11.180155,-23.740177,10.019885,16.521122
229.27039,22.147783,20.558828,73.09601,23.55069
220.34576,77.51993,-44.157845,314.174,21.532475
223.07953,-1e+31,-1e+31,-1e+31,21.349321
235.16252,28.627777,26.650978,71.692635,24.277367
239.80072,37.109188,26.73357,74.428024,30.732908
223.83983,91.93614,-93.9722,174.76431,22.204275
-1e+31,-1e+31,-1e+31,-1e+31,-1e+31
251.56088,22.221985,30.238165,86.324684,28.629572
252.81485,34.406757,25.113865,86.9875,38.71891
249.59137,26.000544,30.92984,70.484795,23.822683
245.43985,14.801777,48.57455,86.04387,40.399452
258.8159,14.48847,19.964197,60.530754,26.377073
257.034,9.030885,29.422895,98.84699,33.011517
244.24515,-46.2823,28.357845,287.63553,26.778759
245.1776,28.787592,-20.878021,63.940575,20.688221
261.14508,14.195135,6.7134576,90.72268,38.891922
261.6937,7.173622,-5.2881517,89.51013,31.316166
267.7615,-73.27486,43.89991,305.0071,18.854362
257.6468,44.240597,-15.890557,87.51474,31.679125
254.77107,17.184135,9.068292,99.38994,26.988829
256.98218,16.305643,7.6659656,81.47609,30.578533
256.93512,19.173508,9.465743,77.54166,28.785069
260.78818,40.72213,2.624078,337.88586,18.941904
260.8095,14.137249,-3.4686427,91.37963,30.332144
257.02225,-5.037027,2.3051,68.23778,18.05625
252.38232,30.778442,-26.030624,140.11932,36.068943
261.71808,11.108045,10.868768,95.94191,36.0447
263.30292,10.016662,26.500473,89.1668,29.515825
253.52162,18.13924,10.466861,112.12023,43.71699
260.91785,16.176765,5.493177,80.541115,27.738228
257.5805,3.563011,2.4301581,66.13834,19.935051
257.24738,16.360334,16.011847,98.085,35.25284
260.91556,-5.4174,14.796126,101.1485,32.41012
257.58652,15.975427,7.101055,98.91155,37.97373
253.23482,14.258731,16.578787,72.14716,20.073235
252.74658,24.307634,16.519741,103.411804,38.352364
246.26483,21.67812,19.090239,55.2136,20.349182
250.7443,28.046013,-1.742681,91.89333,36.05325
251.48169,24.962542,23.836887,103.99965,41.070457
251.75029,25.53629,8.867752,42.101494,18.17836
257.32593,14.797503,2.75266,78.36619,29.45518
254.8113,22.809412,7.500405,80.736275,31.440918
245.82376,30.28329,-6.512918,72.20986,27.156956
233.83313,-1e+31,-1e+31,-1e+31,11.82021
244.35571,35.557323,10.912552,58.131474,23.916842
236.72327,26.552998,0.78920865,59.65165,21.606205
227.16765,103.902985,2.6587996,157.81485,19.435457
234.61766,26.430122,4.4840255,71.56664,28.830822
244.78033,18.662638,6.1840515,106.75009,33.56715
238.75168,31.78996,-10.622737,78.44254,33.653137
241.78246,27.9661,1.9755195,58.458504,28.187265
245.19223,-7.3918333,19.756931,102.53685,22.683474
229.89198,16.553047,2.7552557,51.77569,16.877794
247.13998,56.23204,16.790728,68.69238,37.168045
238.9196,-1e+31,-1e+31,-1e+31,21.064445
227.95317,34.391056,5.484964,55.768497,17.627903
240.85078,14.828275,8.416484,112.8559,31.553617
244.65439,14.112014,16.22995,79.6374,34.302383
243.2759,27.441278,1.4405977,77.32354,38.72106
241.00775,6.9802265,1.7596549,80.18546,34.305237
254.43959,-1e+31,-1e+31,-1e+31,30.228825
251.50946,-41.486977,57.388702,38.5411,12.239566
241.81569,25.25677,13.346863,72.46886,26.754765
227.98184,43.784042,64.7892,487.48856,19.171694
249.06868,-0.8061213,6.402408,31.757166,13.362178
252.89464,-21.7615,25.749596,82.27644,22.751587
253.40623,14.602654,5.2474356,95.102844,43.842754
251.76613,-9.360788,23.308336,68.32273,27.373936
232.36958,66.79409,71.60603,71.96281,15.737337
255.3897,13.545334,-0.34316713,82.98455,34.979557
256.8809,-13.118586,20.504076,85.79091,26.677698
254.21532,-26.192715,17.971817,112.20078,23.625448
248.48407,5.0348287,12.244874,118.580284,32.24837
252.47871,3.9412425,13.270918,92.3057,37.818077
253.8643,7.0756283,17.417883,77.617035,28.517801
246.79117,18.978737,14.940853,84.71079,35.74434
230.38342,-1e+31,-1e+31,-1e+31,19.412745
249.9565,-13.851337,10.821468,77.52851,30.203566
255.65607,-48.990185,35.05497,29.947844,7.2378078
251.66377,9.484356,-3.6409228,56.812107,19.148277
247.34633,-2.9187255,-0.09682244,56.017952,20.843733
244.58879,1.3022149,11.802048,101.90786,37.60017
