vp_r,vp_t,vp_n,np,wp
-1e+31,-1e+31,-1e+31,-1e+31,-1e+31
277.4936,19.031277,-2.7395177,270.7529,48.467773
284.21487,3.8194644,-8.446356,318.37668,53.770508
-1e+31,-1e+31,-1e+31,-1e+31,-1e+31
333.27856,-19.518456,-13.742972,84.25433,45.03437
311.65622,-1e+31,-1e+31,-1e+31,38.0038
289.79385,-2.557574,-30.698029,388.74625,58.303333
318.8909,-10.156257,-8.602533,235.5634,44.90772
322.76962,-12.640516,-42.558617,211.4703,49.24021
293.18817,21.671137,4.6637373,207.85364,54.686943
300.03787,13.651356,-35.146896,291.21756,51.17104
330.74277,-1e+31,-1e+31,-1e+31,47.98161
332.5181,30.063625,-25.16904,90.919785,44.50186
328.28735,3.9195585,-29.183538,199.6221,48.319576
347.04077,-1e+31,-1e+31,-1e+31,42.500565
302.56503,8.430221,-12.347375,155.31238,57.337597
318.54062,-1e+31,-1e+31,-1e+31,45.94227
321.1221,41.172314,-5.249243,48.90842,20.940031
306.8251,-1e+31,-1e+31,-1e+31,56.853798
313.99365,21.659346,-12.154693,150.4866,39.282387
329.84045,-3.2775905,10.307251,231.17451,42.860237
317.5956,16.010937,-1.5492663,238.81647,46.693344
319.40665,20.9026,-10.279272,220.7411,43.94367
313.2619,28.993715,3.2978718,240.37982,46.986805
303.40262,14.686677,-27.13104,293.0433,48.973938
347.216,-1e+31,-1e+31,-1e+31,15.796673
320.95758,-13.168072,-12.955025,262.70926,43.58444
308.5545,-21.507425,-10.547861,292.11395,44.195282
312.05997,-49.81078,-11.704673,347.56598,42.478054
319.77933,-1e+31,-1e+31,-1e+31,43.15384
317.39984,-9.353298,-1.5679878,287.07123,48.623543
308.04,-1e+31,-1e+31,-1e+31,45.175068
327.77747,-1e+31,-1e+31,-1e+31,44.148872
319.11395,-26.890295,-35.34661,327.30542,49.972443
324.44977,-7.6841908,-2.5344183,235.18889,46.52277
312.47922,-1e+31,-1e+31,-1e+31,44.284275
309.7533,4.801462,-8.85567,144.82411,44.20206
312.3262,27.208958,-4.368899,225.27768,50.685307
305.05197,10.480309,2.6874871,296.65244,56.209454
317.00177,-20.032505,-14.279229,297.85364,47.352844
315.49435,-46.011864,-41.422386,272.19257,45.747612
351.59045,-9.896729,-11.498585,97.14574,24.647657
340.83234,-1e+31,-1e+31,-1e+31,11.536936
309.8354,-1e+31,-1e+31,-1e+31,42.87581
326.70605,-1e+31,-1e+31,-1e+31,42.822342
318.0516,-1e+31,-1e+31,-1e+31,44.697342
283.00723,14.814715,-0.20736116,219.70538,54.039303
317.49765,-1e+31,-1e+31,-1e+31,43.34541
310.22833,-33.682625,-39.75695,190.33517,47.972363
322.652,5.7499185,-7.960031,195.38577,45.051186
317.59756,-3.3542295,-13.446014,237.94182,47.793922
320.76846,9.526554,0.15771805,225.71156,48.291325
296.62668,5.2308598,-2.760218,267.9401,42.96065
313.86746,-17.956396,-44.50509,272.7515,37.191025
307.74164,-37.94623,-25.821533,264.8802,43.372467
347.92996,-1e+31,-1e+31,-1e+31,-1e+31
349.60168,-1e+31,-1e+31,-1e+31,11.634984
306.00278,18.188437,6.9041295,272.28513,50.501305
318.6628,24.462124,-34.6604,222.302,42.781387
299.00903,20.432608,-7.427026,250.01358,47.29003
317.80844,-22.809452,-64.38527,262.9232,43.01015
325.35043,-77.87919,-22.660183,287.21368,43.14602
312.83755,-27.78753,-64.3032,294.26675,43.35078
356.5378,-13.548822,-25.554253,17.987087,5.0782833
308.0977,19.421223,-10.349901,258.01846,52.11246
316.857,18.828856,-6.6364026,218.50087,46.394184
316.18307,19.285536,-14.665012,228.49655,45.771236
287.70517,20.138083,-17.123919,311.3703,59.64302
311.37695,30.048868,4.1419334,233.69711,46.910694
312.75192,-11.215568,-6.0323496,235.96423,42.846745
301.8612,12.552875,-25.20337,243.11263,41.209656
-1e+31,-1e+31,-1e+31,-1e+31,-1e+31
298.89786,-1.7375838,-8.068383,283.79245,50.544106
296.1455,-11.435753,-20.911299,309.23587,53.195454
316.67706,12.285204,-23.934063,182.95232,40.50968
303.7282,22.610159,-14.993311,236.91895,46.700577
294.574,11.620602,-27.85762,325.8361,53.99923
280.88748,28.034994,5.8772726,205.27435,51.92273
308.20468,-41.92707,-53.241318,312.33844,39.075638
280.35443,-1.0855514,-15.910613,344.70816,51.886135
309.22485,-34.47658,-30.682896,126.687775,48.415653
290.7453,-9.445434,-30.558657,380.48074,57.755886
309.95245,22.776253,-15.8247,249.5193,46.03134
289.0604,33.09467,-12.641987,279.29684,56.42659
299.1459,26.720772,-7.139479,259.26297,47.632187
307.46542,2.8118634,-4.23874,259.91483,45.56348
311.82214,15.792393,-6.390864,200.90237,39.61822
297.66174,9.842981,-18.071594,309.17422,51.446102
298.08368,22.66927,-2.0651696,285.78763,51.02223
297.00912,29.776125,-16.033152,251.84409,47.35941
292.8634,22.855495,-3.80056,285.89386,54.375866
294.9594,16.230293,-16.626467,304.21774,52.34753
285.41992,-2.337221,-10.679023,360.25565,59.863983
290.02588,25.719402,-12.362852,271.27588,52.94449
304.95108,17.264032,-14.576585,153.96823,37.140182
295.93732,33.02326,-3.5527325,248.13564,47.439465
294.84076,11.552104,0.85827607,275.63937,46.7232
286.86798,9.623295,-2.5599504,303.39685,53.538986
290.7764,30.881338,-4.717773,295.35052,55.242893
284.8804,29.108316,-9.831504,302.5973,56.221283
288.64392,-3.7685325,-27.84836,342.34525,50.447952
292.9246,5.4269295,-2.8586304,323.40558,51.847847
296.14825,-4.6144686,1.0850884,334.50577,50.328342
298.0278,18.719488,-17.961004,331.46927,39.04612
302.74808,21.566666,-8.342641,328.83194,43.458687
300.35205,28.875671,-5.4540634,294.03564,44.461353
291.87198,19.389854,-30.900757,330.33142,47.894104
