vp_r,vp_t,vp_n,np,wp
395.39322,74.96795,35.17133,137.10269,75.00462
403.46014,71.12667,65.64604,154.98152,92.99495
426.42163,70.87811,72.41127,149.83902,98.94849
425.91034,74.35951,59.13952,137.53938,85.494514
396.07318,74.14512,2.289027,137.0041,78.70091
389.07407,37.11308,45.856853,135.43414,78.44422
453.663,90.41973,27.678558,141.70859,93.11461
423.05185,72.80661,-25.487585,145.57475,84.87439
379.80093,50.057457,8.565213,130.99577,73.756516
394.92963,66.154816,12.624849,135.2371,79.473274
390.0426,46.428986,7.4298763,138.66064,80.08273
398.2631,55.933865,34.981625,146.84064,84.37376
396.0627,44.29141,-40.09241,150.58751,90.59322
535.1687,-28.261211,-58.311546,141.55592,129.83504
378.67648,58.830772,-0.2067953,131.67523,73.83653
443.75717,10.465088,-89.14883,166.10658,117.50362
398.25644,-5.4981565,-30.829042,159.20734,97.723236
385.70596,16.419527,21.0855,139.31815,89.39046
406.1285,65.244125,21.453632,128.43977,70.88019
388.3138,51.884018,41.11914,142.35962,88.17462
426.83588,85.16653,34.866364,162.39188,108.06219
396.56165,32.883804,42.55771,137.0027,86.091
474.5061,25.762709,84.3161,141.99799,111.036385
430.75732,33.261517,94.97939,150.21904,99.837234
413.56955,38.81357,87.72777,158.79582,96.38223
463.7791,47.700024,81.00362,139.01877,107.61128
572.7387,91.80741,-66.02967,131.70116,110.79365
-1e+31,-1e+31,-1e+31,-1e+31,-1e+31
463.836,-15.135597,-81.049324,147.94998,113.18258
409.25217,-1.7908157,10.173515,136.51704,92.42686
391.51596,31.215464,7.341756,127.69197,73.32122
592.19434,88.94171,55.010197,122.100426,102.88426
579.378,85.59904,-6.0003724,125.458725,111.579254
465.01053,63.346706,77.62899,152.6404,121.557304
507.07272,79.349464,-42.86539,154.00224,123.05497
605.4006,24.380058,-83.20825,125.58651,102.34028
537.5837,-19.134686,-120.02693,153.0386,128.38199
397.87714,-15.077158,-4.98836,149.28668,99.63438
391.85968,16.869312,-9.428355,129.80989,81.356995
539.1627,-3.1543503,-112.306274,148.13126,119.58597
460.67355,0.856022,-116.60227,174.14348,111.47313
428.90695,-26.3777,-28.937231,148.84288,94.42605
435.1159,-0.70624155,36.713287,145.91028,116.92968
470.65607,-0.16828333,50.821392,131.38335,108.99935
415.09222,-8.285569,46.93065,146.19994,104.99089
405.8402,9.786974,31.365213,133.86229,85.2081
475.3779,-4.8307786,18.46786,134.9462,133.6697
416.8263,12.959051,56.811966,143.03471,99.58901
393.1388,14.370305,19.890211,140.32474,92.31264
404.7005,-8.744588,11.615102,146.6075,105.53813
415.22598,50.57145,-71.71348,144.58524,95.11673
414.22498,80.04968,27.014103,140.88019,92.91056
418.4927,75.36458,53.21591,139.40747,83.436485
404.6371,13.548017,81.678734,153.87848,97.743546
418.61182,24.361515,-76.26663,142.22656,93.29032
411.59406,72.64895,66.65656,154.33745,101.16843
389.706,39.161484,23.398226,118.06344,67.72523
396.177,59.94554,-0.7923161,146.3838,82.01717
403.4589,68.32423,33.780342,133.61662,80.238945
418.47815,66.7402,67.011826,152.58694,104.753975
400.05307,75.757866,29.009533,131.88937,76.98434
385.4278,23.590248,19.73086,120.989075,73.30758
384.91483,54.159233,-2.713741,134.14241,78.57252
393.78027,66.64795,20.143612,129.99905,75.81378
391.63974,63.02343,20.55776,130.64981,76.13672
414.98923,60.578644,77.83973,114.158325,79.60995
418.58356,57.871014,-43.606895,151.12044,85.77105
395.39844,63.90357,-17.467197,137.75311,83.04643
401.5349,63.832993,-37.017445,135.47136,89.718216
399.20953,67.98061,3.9974174,132.76678,75.503914
387.42743,35.74475,52.929317,131.23747,82.12385
391.2262,57.702034,36.671703,119.18062,71.12774
384.4536,32.146103,9.796738,122.68975,77.196846
385.91537,50.33539,24.121914,113.89877,68.8349
380.6757,49.747044,14.600127,123.65821,74.30643
391.73938,60.82601,-9.4142475,129.6254,79.303894
393.9862,57.338406,-38.086754,134.17592,81.51042
391.1133,63.793686,2.1867,121.486404,73.355804
403.70547,56.958874,69.634026,140.45844,89.17063
449.74854,85.61268,-26.783394,146.44218,105.52005
411.83566,53.14198,83.603615,142.09946,95.2469
407.72202,67.40122,65.62891,139.4364,89.98505
424.03714,53.042625,89.9405,141.49373,93.49083
401.90488,21.458971,30.20325,126.65449,77.76789
446.47766,52.07171,93.52985,155.02039,100.94306
422.26114,63.66564,70.906,148.54926,100.86405
455.5848,64.65255,83.72011,147.12468,97.16214
432.71265,10.195667,54.778507,138.02705,96.59969
428.05084,90.36304,33.39067,154.2759,99.0487
405.859,52.42509,41.307896,130.4051,74.7754
410.23672,65.72768,45.49221,139.12213,80.30951
403.9394,66.300026,3.7472682,129.57681,77.27892
403.4722,59.772327,-11.800358,133.89775,79.6511
415.13226,58.999126,-23.589994,135.07896,77.08512
505.13263,19.481306,45.46369,125.5223,117.40039
445.56717,16.526684,77.32702,151.25562,102.71215
395.74747,51.680965,-25.169176,130.55486,78.19507
407.54257,75.048004,21.436028,134.39749,82.1694
417.6055,18.420872,41.492847,121.978004,79.43275
405.19843,53.58555,27.434727,131.92688,76.25537
401.39542,44.601555,27.411057,132.1051,76.79291
416.68912,68.27225,36.56887,132.82068,74.591286
394.80573,36.98813,2.7502365,135.56721,77.53529
412.48502,66.708275,-16.502691,141.21974,82.60601
398.806,55.267387,6.0222096,129.55516,75.34324
421.35916,79.98434,10.500381,153.06157,94.7692
456.60547,18.318666,55.211395,141.6788,104.08581
396.92136,25.08976,-24.463068,130.98949,68.10106
406.64685,34.095768,48.985695,138.55757,82.68927
452.6644,49.791553,81.89567,144.35559,106.27604
393.9321,45.242504,-5.790515,132.2154,63.851395
422.35953,58.04916,71.98571,144.43748,85.264275
