vp_r,vp_t,vp_n,np,wp
-1e+31,-1e+31,-1e+31,-1e+31,-1e+31
-1e+31,-1e+31,-1e+31,-1e+31,-1e+31
-1e+31,-1e+31,-1e+31,-1e+31,-1e+31
-1e+31,-1e+31,-1e+31,-1e+31,-1e+31
-1e+31,-1e+31,-1e+31,-1e+31,-1e+31
172.53705,-1e+31,-1e+31,-1e+31,-1e+31
-1e+31,-1e+31,-1e+31,-1e+31,-1e+31
-1e+31,-1e+31,-1e+31,-1e+31,-1e+31
-1e+31,-1e+31,-1e+31,-1e+31,-1e+31
204.5008,67.20217,-5.4234676,382.9148,21.310755
-1e+31,-1e+31,-1e+31,-1e+31,-1e+31
-1e+31,-1e+31,-1e+31,-1e+31,-1e+31
223.7272,89.51691,4.6189704,587.8161,20.446856
219.022,88.515816,4.4410353,494.53653,17.118055
-1e+31,-1e+31,-1e+31,-1e+31,-1e+31
211.96138,92.14213,1.0019636,371.68076,11.922349
220.48637,87.674286,-0.91268766,658.4781,21.816845
223.23924,88.19911,3.1801982,629.3309,21.57525
229.35492,91.935394,4.0381017,718.3767,25.623592
228.59071,89.47651,6.855878,702.737,24.93297
224.76758,92.46881,3.1558194,633.3183,22.91907
208.1034,88.37452,1.9679707,361.9357,10.78267
-1e+31,-1e+31,-1e+31,-1e+31,-1e+31
-1e+31,-1e+31,-1e+31,-1e+31,-1e+31
181.98018,-1e+31,-1e+31,-1e+31,-1e+31
-1e+31,-1e+31,-1e+31,-1e+31,-1e+31
-1e+31,-1e+31,-1e+31,-1e+31,-1e+31
-1e+31,-1e+31,-1e+31,-1e+31,-1e+31
-1e+31,-1e+31,-1e+31,-1e+31,-1e+31
-1e+31,-1e+31,-1e+31,-1e+31,-1e+31
207.45526,65.88173,-28.033936,635.1053,15.608307
-1e+31,-1e+31,-1e+31,-1e+31,-1e+31
207.49277,82.158394,-12.917587,631.89526,17.083635
207.83049,93.65447,1.6295043,365.3402,10.758069
215.40938,86.38007,-5.2671266,745.20746,22.124868
218.78693,83.61878,-0.938097,610.3885,33.74966
224.24803,97.04388,8.691241,758.0379,25.472626
243.62567,91.96118,5.8830595,1084.1821,37.444057
206.08418,90.27896,1.7896388,422.53006,11.878712
210.48538,87.93889,-2.521351,623.7294,18.299055
199.90398,77.88194,-6.0288725,257.1559,6.0832276
220.58505,85.478165,-2.2868023,898.395,27.584791
211.37976,94.75976,7.208125,502.61435,15.160696
-1e+31,-1e+31,-1e+31,-1e+31,-1e+31
-1e+31,-1e+31,-1e+31,-1e+31,-1e+31
-1e+31,-1e+31,-1e+31,-1e+31,-1e+31
-1e+31,-1e+31,-1e+31,-1e+31,-1e+31
-1e+31,-1e+31,-1e+31,-1e+31,-1e+31
-1e+31,-1e+31,-1e+31,-1e+31,-1e+31
-1e+31,-1e+31,-1e+31,-1e+31,-1e+31
-1e+31,-1e+31,-1e+31,-1e+31,-1e+31
-1e+31,-1e+31,-1e+31,-1e+31,-1e+31
-1e+31,-1e+31,-1e+31,-1e+31,-1e+31
-1e+31,-1e+31,-1e+31,-1e+31,-1e+31
201.44823,81.93283,-14.052838,528.8389,14.610788
-1e+31,-1e+31,-1e+31,-1e+31,-1e+31
-1e+31,-1e+31,-1e+31,-1e+31,-1e+31
-1e+31,-1e+31,-1e+31,-1e+31,-1e+31
-1e+31,-1e+31,-1e+31,-1e+31,-1e+31
-1e+31,-1e+31,-1e+31,-1e+31,-1e+31
242.70575,95.80615,-1.3829776,862.7622,33.037586
-1e+31,-1e+31,-1e+31,-1e+31,-1e+31
-1e+31,-1e+31,-1e+31,-1e+31,-1e+31
-1e+31,-1e+31,-1e+31,-1e+31,-1e+31
-1e+31,-1e+31,-1e+31,-1e+31,-1e+31
-1e+31,-1e+31,-1e+31,-1e+31,-1e+31
-1e+31,-1e+31,-1e+31,-1e+31,-1e+31
-1e+31,-1e+31,-1e+31,-1e+31,-1e+31
-1e+31,-1e+31,-1e+31,-1e+31,-1e+31
-1e+31,-1e+31,-1e+31,-1e+31,-1e+31
-1e+31,-1e+31,-1e+31,-1e+31,-1e+31
-1e+31,-1e+31,-1e+31,-1e+31,-1e+31
-1e+31,-1e+31,-1e+31,-1e+31,-1e+31
225.44093,63.139942,-18.389431,274.38773,23.472845
