vp_r,vp_t,vp_n,np,wp
297.81677,-1e+31,-1e+31,-1e+31,-1e+31
312.2791,29.624472,1.7755888,93.883896,24.449196
298.94675,22.502506,-8.57795,98.20225,22.772282
297.37476,20.415342,-4.85801,92.38097,21.510132
295.92014,20.752916,-3.361589,96.89642,23.676529
294.36197,28.291012,-5.7109847,101.86654,24.496408
297.48108,24.866982,-3.5740905,97.726585,23.329147
295.8381,24.448109,-6.7785516,99.75651,23.345745
296.62772,21.9567,-8.088549,96.398544,22.755442
296.58453,24.418835,-11.998551,98.95799,22.683798
295.41342,27.467833,-5.6412387,99.46086,23.459307
290.4822,25.118599,-3.036366,107.5511,23.435715
293.52524,25.858448,-10.898883,100.42119,21.048065
290.51398,25.858276,-13.149439,104.29121,20.38833
290.95114,25.552778,-7.641546,104.30124,21.986973
289.96704,30.258795,-8.748051,103.7796,23.214226
284.03824,17.129934,-12.25016,110.23661,23.675056
287.8594,18.987238,-9.249774,107.23033,22.450764
288.21036,21.818779,-10.973477,101.25786,22.9751
288.2297,15.682826,-21.5413,101.908905,21.41489
290.15,3.4881198,-22.082813,77.71063,21.735739
285.47705,15.557753,-9.308882,96.87613,21.317823
288.86426,23.879412,-6.5877542,92.39738,20.448002
288.1641,22.625227,-5.2178564,92.74276,20.010931
291.6713,27.415667,-7.6604114,91.48078,20.025698
289.61707,19.879541,-5.4672937,91.92782,19.632307
290.16196,21.90757,-5.1323967,95.69944,21.542461
291.97833,31.464537,-7.798878,100.65773,21.82923
292.11517,30.815004,-1.8604137,100.92929,21.831934
291.18616,32.615017,-1.7225499,106.926315,26.239408
288.77536,21.157951,5.460191,103.109436,21.3679
292.64386,30.163082,1.7798861,105.28659,25.001823
290.105,20.748837,2.5427706,108.309105,23.987349
292.0925,29.870012,1.3971437,104.51415,22.095486
292.3067,28.544022,5.1059256,112.46362,27.051088
298.32468,25.632166,2.7925155,98.25727,21.662415
298.19565,25.04012,3.53582,100.4813,24.121578
301.40848,25.241556,5.2819624,94.55044,26.618784
298.71582,28.320368,3.5656917,103.71515,24.014524
296.66016,31.5659,9.344851,108.02733,23.469196
298.68155,29.09077,10.215289,102.95349,21.78829
304.36163,28.66868,15.619221,102.95844,24.657848
302.31863,31.355808,16.264103,104.809906,24.299534
288.3351,20.535242,0.87043273,109.96495,23.82122
291.04193,32.3988,-1.6965748,104.16581,24.366474
289.61993,27.587252,0.72569835,100.81739,21.489164
289.91748,30.829819,-1.5163099,102.598465,24.494127
289.9036,28.020721,-0.4922006,101.90408,22.331734
289.82745,28.085123,-1.0001049,100.85267,21.147493
287.70084,22.14091,-1.256677,101.38433,20.27716
287.01648,23.322147,-0.16465826,102.75552,20.607855
283.4642,34.36012,-1.2610582,112.855286,22.29976
284.00943,31.57768,2.7819927,115.40956,23.728136
290.1347,13.816659,-0.47663754,82.0563,21.804327
288.73178,29.441074,0.17604744,101.34795,23.64904
286.41403,27.87048,-0.31631696,102.532265,20.1908
289.79764,29.423193,0.45754495,106.112755,21.982145
288.71814,23.088903,-1.1960026,103.06387,19.944813
288.52234,26.264696,0.37252837,108.89294,20.461313
286.9414,28.30235,-2.5383265,107.030396,20.409164
286.6263,26.587177,-4.4588113,110.569725,21.378122
285.6937,33.681877,-5.0699477,117.93113,22.1369
292.98642,31.051153,1.0377811,109.4507,22.224203
286.6656,34.314335,-3.2952425,122.34679,24.498371
293.7201,32.940414,1.33211,102.11381,21.440111
291.184,32.78952,-2.5863678,101.51002,20.901144
295.21332,26.213627,-2.884095,100.106705,23.088985
298.6818,24.743189,-0.5063123,95.93735,21.153847
288.0945,34.021053,-6.9098806,123.72339,23.09077
288.07718,31.980913,-1.7903893,115.71224,24.050688
292.47333,31.85845,0.36927062,111.785324,22.242926
292.20816,31.771975,-2.8573709,112.778595,21.675749
292.85678,29.747648,-2.9328165,108.098114,22.019075
293.7301,33.329117,-1.2248545,115.455925,20.942526
295.77213,33.73866,-3.8634167,100.77871,20.38632
296.30554,33.20296,-5.540333,107.96632,21.053123
296.06842,33.64575,-3.216444,107.952354,21.186895
295.72314,36.54649,-3.4644399,109.527214,22.929031
294.5407,32.20378,-1.5150541,108.69166,21.221432
293.80234,31.368929,-6.0129128,108.043076,20.525808
294.7579,33.531677,-6.737385,112.64455,26.568077
296.53857,34.536465,-4.848129,106.98687,21.48232
296.52124,33.739735,1.5091413,106.38534,21.568733
297.1404,33.277718,-1.3085115,107.76035,21.733168
296.4805,31.906824,1.6921061,107.87599,22.035925
296.37985,33.51484,3.793299,108.74731,22.275236
301.62375,13.223892,7.249183,94.747055,20.239317
303.31937,30.408424,0.5410817,103.87993,22.247093
300.40128,27.11615,4.730224,104.27546,21.165396
295.46475,32.269543,2.6364295,108.40781,26.337816
296.1738,35.81493,-1.0277988,109.74429,22.786388
293.70538,30.565123,-0.3811335,106.91897,20.564323
291.30576,34.20081,-0.69717246,107.3628,21.764864
301.74802,36.420097,2.7880735,107.13113,23.553839
295.67844,36.285667,1.5862355,109.742645,22.242723
293.3712,32.522232,2.3070593,112.76753,22.269192
294.9929,35.297367,-2.0291634,110.000206,21.955235
285.43842,31.513647,-8.209157,117.00377,22.328629
288.41815,25.733866,-5.634824,111.091545,21.181376
284.76254,26.852863,-9.854255,113.46442,21.365627
294.47675,33.675068,9.182214,114.18712,23.674276
290.30493,28.834904,-2.8515875,115.643135,25.033648
294.82382,29.865074,6.66053,107.805374,24.008467
289.4199,27.373934,5.234383,109.158005,22.829134
290.84708,29.51019,6.4115195,112.47259,24.837687
288.06998,20.985252,5.010027,117.14335,25.730703
287.45682,18.962925,-0.54652727,109.65858,22.196217
285.08966,23.486795,-1.7891587,109.91226,22.180828
290.69623,26.5535,5.3877115,105.79519,23.300262
291.4691,28.230999,6.036756,106.05879,23.522726
291.16635,18.828398,10.036569,93.36157,23.420065
290.0118,16.706234,3.463423,90.71226,23.5984
290.81616,24.203804,6.399765,97.374,22.878847
288.59177,4.039527,9.624231,92.59272,24.88919
287.64175,9.664102,9.988998,95.317,25.540396
292.20618,10.4084015,4.9588423,89.83257,24.069023
291.6697,18.035685,3.0017316,92.99529,27.83926
289.99658,1.1496063,12.215373,88.890976,24.673683
283.1347,-3.8260658,-0.91506034,98.90585,26.337008
293.48602,11.323199,13.26255,70.718475,26.605114
289.40353,15.169748,7.8779645,98.96618,24.718826
292.8069,14.825965,18.552313,98.29168,26.053892
293.56232,21.744806,9.449833,97.696266,24.693676
293.7678,25.261965,13.273615,101.849754,27.054804
