vp_r,vp_t,vp_n,np,wp
-1e+31,-1e+31,-1e+31,-1e+31,-1e+31
295.74088,24.151089,23.836733,49.103138,29.328228
303.1468,20.47687,32.025883,51.507614,28.201118
299.17447,32.010746,13.562236,49.552498,31.129187
295.86838,28.438734,18.08744,51.21936,30.323269
299.48264,18.407461,14.3381195,51.93504,34.69065
299.82684,28.540955,16.453665,54.10802,32.528137
301.59433,27.78785,15.79848,49.1529,26.4723
294.1568,22.601288,14.282542,44.827534,34.27025
297.2751,18.085472,28.071783,51.322872,31.114395
294.7193,19.18185,27.596193,49.98015,29.841627
291.22562,20.737627,25.060133,46.25328,26.653763
295.8232,27.886396,12.982838,49.88777,31.676958
282.76804,26.718607,11.919354,54.10896,39.674202
303.2429,26.464993,18.98954,48.582893,29.125965
301.7413,19.41834,28.164675,47.76838,29.221739
296.49924,17.747248,19.386204,51.462395,30.368835
292.894,19.691534,18.798407,51.59611,33.641552
278.73477,9.427396,22.080921,51.567413,39.245537
311.33704,23.254284,24.231794,52.556744,33.5687
303.4315,29.90145,14.9456415,47.999676,30.520857
297.1473,21.802336,21.547548,47.024128,28.27914
311.40518,34.249138,13.352831,51.277023,36.65457
301.4842,34.338123,4.4710264,47.34985,27.493153
299.8562,36.32618,12.96305,47.490196,28.658642
277.7278,30.033545,10.343534,62.33067,51.500572
281.33066,17.227911,5.8278494,47.244392,38.885303
275.31302,-3.780324,-0.49122867,47.02439,35.925865
279.82104,10.350954,13.025653,44.090343,33.77674
290.06802,25.468443,-9.885015,45.29755,31.437967
282.548,19.793528,7.143095,50.025444,36.114822
292.281,17.723358,19.79933,49.0058,31.1826
286.47333,15.453612,23.71872,50.78592,34.748978
274.7717,7.0099616,13.316496,51.691483,41.802326
280.93802,18.554743,0.1125159,46.738926,34.669468
283.48666,21.191654,15.720518,51.53543,36.436745
285.5956,18.154673,7.8007865,50.93076,38.901295
282.37378,28.261646,13.07794,50.632755,33.987564
287.5248,16.710163,23.029127,49.553925,33.185715
284.0715,22.637009,21.60868,47.896988,31.842382
283.58957,19.510307,24.790344,51.280567,34.52344
289.59338,20.866531,21.305004,41.149155,35.496742
290.2936,14.180752,24.305855,47.41746,30.836521
288.00348,24.870798,15.472417,48.32072,32.68775
294.3202,6.918022,28.503113,55.253136,38.125618
311.06088,17.617197,32.53816,49.23382,28.204397
291.41473,34.62268,16.353327,49.142635,29.194885
288.69684,22.716719,18.193802,52.59696,34.43571
272.89072,-19.236765,7.6518645,48.23657,35.028126
265.9466,-11.327764,3.2889984,62.68538,50.817867
279.48886,9.544638,13.746913,49.812458,37.872368
