vp_r,vp_t,vp_n,np,wp
319.7627,40.297688,-20.805603,57.89126,47.276283
321.70474,32.185642,-31.266548,55.28186,45.042484
314.2409,32.010693,-13.90416,49.151215,38.316116
319.63406,43.12515,-30.294823,54.94957,45.452274
315.47525,10.268222,-15.369331,40.79413,33.661167
313.61957,11.676035,-18.146854,47.976944,43.251762
317.09302,13.540224,-24.233328,44.14882,39.360134
322.37045,7.760573,-31.694363,42.362022,38.17049
319.02405,4.134867,-32.539154,47.566414,43.78336
314.47845,-0.30500957,-17.0583,45.972637,41.082596
309.57858,4.291763,-18.65314,48.575207,41.712
313.6345,17.675732,-21.339283,48.007442,40.031963
311.30972,19.332306,-24.362482,41.22215,37.01573
311.162,31.620537,-11.086942,43.714565,35.115448
314.22357,29.696552,-11.752402,43.47322,35.408764
315.89624,23.746881,-16.778112,44.1121,37.889908
318.13403,-5.020004,-16.752674,39.427658,28.112158
319.33182,-7.8864474,-17.454119,49.2847,40.70103
322.77438,-0.61622256,-11.024232,45.41709,35.65423
325.79898,1.5755155,-20.797602,50.76027,46.50531
327.42426,18.762012,-24.082651,44.938545,43.794525
326.8348,31.025852,-30.247114,43.015278,41.519344
324.70117,20.575739,-24.867413,47.58409,46.51862
316.12482,29.65617,-21.96611,38.48976,27.703354
325.26257,31.59106,-26.884401,46.04372,41.475796
327.90924,34.737564,-27.072645,41.12676,37.64882
325.62067,35.075882,-26.990448,43.393284,39.99769
320.2374,39.918636,-31.35396,51.098415,43.945126
324.16492,37.91718,-30.0057,44.080273,36.580147
327.30267,44.843727,-23.255627,48.165504,43.759094
328.07086,48.819912,-29.944927,48.896435,48.627747
327.0673,42.753395,-26.212713,46.218388,40.08171
328.1879,45.15318,-19.934082,49.066494,42.22684
327.92148,47.264675,-16.420904,50.358574,42.974033
333.1211,53.248474,-19.559109,45.142414,37.81878
330.3248,50.018917,-22.752155,43.462997,33.463696
333.91742,53.818146,-23.340351,50.145897,43.926594
326.758,49.729202,-25.794619,44.11434,32.767517
328.68625,47.288338,-31.29503,44.88849,33.949818
327.0179,67.32747,-11.384377,43.666355,31.51544
321.66013,65.56826,-21.029964,46.476723,31.443022
319.86658,64.565895,-2.8727431,44.159992,28.975327
327.12912,73.44085,-7.1235156,45.772373,32.448254
321.10025,71.85676,-6.1759205,41.798664,27.763
320.74683,63.33374,-4.506293,42.78818,29.001566
321.82315,66.33409,-18.961836,43.71549,29.689625
330.53992,54.593807,-45.725204,57.331696,46.111065
327.02032,54.49837,-22.829515,53.815235,46.238686
328.7507,66.540985,-18.00701,49.3473,39.341625
321.38168,58.3954,-9.824465,49.80222,40.217052
327.3346,64.31109,0.33926257,51.66025,43.359673
323.08353,56.801655,4.7908225,50.6377,41.17812
334.5079,52.70412,-43.168972,53.265133,40.33322
325.09946,60.23769,-35.51803,58.16672,45.56778
329.0507,55.452522,-25.267899,54.133923,41.95294
337.0546,59.430832,-34.61144,55.780235,40.80124
356.2157,75.48088,-19.139654,55.40055,36.492416
354.19763,59.31724,-25.15418,55.055855,36.406277
330.20575,59.87747,-31.777147,58.29735,40.201412
317.29056,30.969614,-27.470081,61.259895,47.828514
333.19507,32.685127,-43.070465,58.824757,45.44519
313.15356,14.747046,-12.122001,53.92197,42.226486
309.83124,10.15467,-23.191628,56.90152,40.434505
313.688,11.82542,-7.2970047,49.08925,43.762726
310.65558,6.417348,-24.196167,58.818752,40.95931
307.66235,2.8673584,-25.7502,48.043205,28.41908
307.71732,-27.661333,-33.1898,46.082172,25.042652
307.15515,-19.953495,-22.071632,45.842777,25.747744
308.82788,-22.986906,-23.090029,52.38479,29.804922
307.92377,-24.469353,-13.951123,48.008396,28.270172
