vp_r,vp_t,vp_n,np,wp
-1e+31,-1e+31,-1e+31,-1e+31,-1e+31
283.45218,9.815159,-0.64294785,114.90275,28.233522
276.79218,0.9608104,10.317057,139.57784,37.60257
283.7972,5.875285,-4.952709,123.638535,30.088898
284.2702,8.426308,2.6196568,114.9536,28.755436
282.20322,3.8990223,8.480396,118.61989,30.551243
282.70084,5.28028,5.793109,125.43065,36.669724
279.37228,4.545606,7.1309958,118.46164,28.898567
278.47952,-2.011848,3.6488755,119.49295,31.158577
279.61365,6.7158446,2.3146117,121.41398,35.835125
279.26868,-6.7003903,18.442717,119.12161,32.94159
282.8844,8.560633,8.2457075,127.2036,32.99832
285.17526,6.6364527,13.523939,124.13863,30.410275
287.8148,7.566209,9.469393,127.329704,35.3295
292.63824,-1.321951,10.294048,96.768,24.66297
286.96063,-3.0934837,2.2001884,106.6176,29.090757
291.29724,5.560127,11.341582,114.46521,30.613558
283.39792,-3.9315991,5.18679,134.01503,44.891846
288.3886,5.208467,3.304753,125.939224,36.662563
294.9419,10.676303,5.7031317,113.53816,29.552446
291.32147,11.35958,2.9235334,121.69739,31.909237
289.8736,19.261766,9.719636,115.64033,32.277836
291.471,3.4545212,3.7534747,100.9758,25.92364
286.53174,17.370228,4.921451,121.488464,36.334953
293.4375,7.537654,3.5416472,118.277084,30.991735
290.28394,14.485629,3.104783,115.80408,33.287975
287.12222,15.376166,16.426796,129.60052,34.615055
291.2864,6.933554,15.273168,124.90832,33.162724
288.47156,19.57805,12.310703,132.19846,29.58391
277.1157,5.8716297,5.054458,136.17899,39.31987
279.2459,6.68376,13.560079,129.69257,30.274899
274.468,5.698639,0.5752997,129.87813,33.38263
280.1916,15.328413,11.937726,133.9476,30.985525
274.8239,18.285267,7.469045,153.2674,31.409962
275.31097,6.299743,14.393496,123.88412,27.793324
280.6822,17.247732,4.4999094,130.06577,30.288712
277.41876,12.861606,0.59303623,140.34676,33.100784
274.49185,15.826456,7.823357,127.70858,32.38316
256.60022,22.85586,-0.8833286,135.97655,36.09241
279.2043,13.897411,8.277196,132.20825,33.35403
264.11893,13.57548,4.7207847,113.04223,26.287678
266.98962,20.579836,8.625044,108.846504,27.32329
264.8397,13.87122,-3.7599216,126.03333,38.496525
260.69025,7.1870413,1.6618571,120.54423,35.025166
259.20993,32.744637,3.5066917,114.37857,31.104977
251.51353,20.01112,-10.07651,107.36657,32.476738
290.23654,10.033726,10.112197,126.671295,35.115917
291.193,3.7538908,-4.5148873,122.683136,35.163883
296.13037,33.804253,5.4390826,111.92071,33.518436
293.4797,7.865217,2.8074443,127.724884,37.420708
297.5239,14.555685,0.36041158,119.64746,33.459312
254.53766,12.610045,10.978144,124.99802,39.111717
262.38254,8.307956,5.451064,125.14938,37.41356
262.51953,7.6740255,23.268589,128.09659,36.66716
270.12924,18.397509,5.932372,115.63038,26.492609
260.7709,16.327698,12.49505,120.29496,29.150078
266.91852,5.1583533,21.341284,115.62131,26.420761
255.97641,11.693657,16.269968,133.14195,33.333885
258.2402,19.661682,17.007357,141.3415,30.373661
266.3206,10.610853,17.452345,147.4266,34.85959
276.056,11.866892,0.8519099,135.86395,27.73487
277.29462,2.8262663,10.039259,156.17642,33.972034
279.20825,0.017435502,-0.102285095,153.81866,33.535194
281.8567,-0.72536135,0.6127189,148.93521,30.149736
277.98688,4.842144,0.6019368,154.74768,34.935616
279.24518,2.9091148,-3.0942051,152.06561,32.63076
276.6558,10.557205,4.6767445,172.22906,31.47193
279.5293,4.1217976,-1.7451273,157.72215,33.80329
276.80246,-3.4497392,-0.49063063,164.63155,37.077793
279.17535,2.5217745,-5.4279494,148.25778,29.403023
275.91455,5.2861795,0.22654149,157.43344,34.327873
276.8005,0.85407835,7.936961,156.4955,32.363968
278.37332,-2.150768,0.24041073,159.09178,35.718227
277.7812,4.6970997,3.7506704,148.40495,32.36306
278.58377,4.3301973,7.1698246,152.72015,32.525105
278.06006,-1.9570762,6.07674,152.79951,33.745804
279.7946,0.9696021,6.2035007,153.7453,31.534323
278.10632,-5.58936,8.7604475,154.23549,35.023705
278.53848,3.85519,4.372325,129.69511,26.32433
281.99503,2.479498,3.2197244,149.80655,32.721794
279.8965,3.9901679,5.3942337,144.19499,28.080246
282.88333,9.138895,7.4082847,147.53693,31.35888
277.71115,7.6736493,3.5667856,148.60013,32.050884
278.67685,2.1638637,3.181794,161.32994,39.40702
278.55908,9.360623,9.758479,166.08357,41.16658
283.72275,10.701198,7.9214373,142.50859,31.326046
284.18954,17.78236,4.228478,140.70856,27.20067
283.1303,7.7539783,6.472481,138.48792,27.67214
284.13284,-3.8156044,3.7542167,149.98135,32.12618
286.35373,-0.9989834,14.136701,141.27844,29.632294
287.20096,16.10226,-1.7862372,131.95686,26.937708
283.75494,1.0953357,1.5752145,152.40887,32.542095
280.4755,-1.3162515,6.0789123,157.76532,37.643177
281.8025,12.342142,-2.1982234,129.47598,27.479994
281.26266,-0.51844233,6.455679,150.48782,34.871525
278.72433,3.2949061,1.661444,149.00092,34.458324
282.8738,8.958263,2.3819602,126.31522,25.137814
280.60663,3.1151319,4.392523,146.22673,33.43715
280.7138,4.8796043,10.764331,154.0688,36.121437
280.013,10.026057,6.1909018,166.06422,29.303574
284.48483,0.58369976,2.5162349,139.89377,30.77426
280.58432,9.622057,-3.0538328,151.5144,39.468002
285.46298,4.6411576,3.847596,139.54968,30.667799
279.42328,7.8281994,-2.542598,142.38812,33.715954
281.89276,-0.059226964,2.5770605,141.17883,30.947378
283.3718,-16.347723,3.3226163,146.35991,31.12583
282.33438,-11.5293865,1.7467397,136.8584,29.4901
280.48688,6.577213,10.188481,129.29866,27.608082
282.96576,-3.7531924,1.1562613,138.57175,30.077015
276.68002,7.923269,0.8954487,136.1981,36.723755
280.39236,11.442455,6.7115264,133.61218,31.55967
279.43695,13.15217,6.089933,137.55298,34.280437
283.42133,5.565487,5.7612057,127.78007,26.021732
276.63,9.278882,1.0075538,146.67119,39.440155
281.564,9.576021,-6.1999793,137.2497,30.249163
282.19647,13.619462,14.070685,134.20518,28.711367
280.73624,7.607529,2.7227225,140.49371,34.688488
275.84152,9.571572,4.9662333,140.16994,33.42882
280.20206,11.578991,2.679517,138.93423,29.381477
278.62857,6.79727,8.545927,146.12543,32.11263
275.3955,6.5964985,-1.0289073,149.0333,34.609287
279.5301,3.4878802,11.438084,146.93805,31.172194
281.5691,0.5596672,12.563392,143.94446,29.092243
279.39322,7.4857016,4.4612885,137.21696,27.450645
280.16776,7.290937,0.11659537,142.48944,28.764246
279.80826,10.375934,8.283879,141.01195,30.665876
