vp_r,vp_t,vp_n,np,wp
-1e+31,-1e+31,-1e+31,-1e+31,-1e+31
254.67677,65.452484,-14.831542,342.63184,43.170887
279.5535,56.49886,-10.073026,230.57434,34.57937
262.07455,80.71731,-1.1648378,384.10196,40.82951
257.37296,69.87259,-4.590877,325.13013,38.319897
262.51456,70.801384,-12.560475,291.78586,35.98387
-1e+31,-1e+31,-1e+31,-1e+31,-1e+31
-1e+31,-1e+31,-1e+31,-1e+31,-1e+31
-1e+31,-1e+31,-1e+31,-1e+31,-1e+31
257.94156,66.734856,-16.009981,341.22446,37.6939
259.04214,75.58146,-4.826159,339.85086,38.162823
261.8627,68.75038,-13.943482,354.37082,38.84404
257.4495,57.265373,-11.55188,335.19073,40.916847
266.54236,49.883842,-26.835537,295.71057,38.98267
254.22572,74.011,-10.680382,349.9949,42.30239
261.77423,75.15781,0.06071669,342.0185,38.232243
262.76572,84.32401,6.8028536,351.1645,40.84384
270.7404,90.10195,22.079515,356.46597,41.312473
262.18063,81.90384,11.732955,349.2014,39.936405
261.44867,73.329285,-14.539198,374.64896,42.95165
262.03174,67.384926,-16.954103,367.22324,38.36722
265.2514,80.206924,-11.413457,358.77667,36.595516
277.46942,60.95484,-31.041025,347.96973,40.43559
268.75076,55.95305,-30.081083,359.28824,39.91339
270.6916,57.088093,-29.031294,351.90417,41.579967
287.72723,84.87944,-27.53476,353.44168,43.04086
280.1653,75.38262,-30.814854,351.77438,40.498993
285.31598,69.13724,-39.43908,333.37366,44.157898
268.0833,60.79038,-36.071213,350.66116,42.91273
268.71835,59.919342,-24.037067,335.76367,38.94715
271.76642,64.105965,-29.380442,335.129,40.812565
270.99863,80.60771,-21.801989,351.62793,40.94458
275.26263,40.539093,-44.196907,345.662,45.74789
258.86856,54.632454,-28.13551,359.18765,39.76308
269.4647,53.610336,-38.30389,313.51822,37.752502
261.4564,62.892628,-18.28176,342.37277,37.00924
265.79398,81.78728,-12.501408,351.1128,38.448135
262.65173,74.27494,-13.331317,358.51443,37.49543
261.7335,73.165,-17.250225,359.0945,41.476887
266.19693,80.346085,-4.80959,364.97406,38.02626
273.95074,86.90664,-16.46156,348.61078,39.496544
256.0334,63.97738,-23.2117,364.43265,44.393898
257.53317,57.730476,-22.296629,318.6723,36.050453
262.19705,54.61693,-25.408386,297.0423,34.705574
259.27075,66.65683,-17.5767,353.26117,38.517128
272.77496,92.197876,-7.600867,370.17862,41.555996
263.96494,90.32667,15.965308,345.06598,39.255028
261.89587,71.92832,4.043278,328.73715,37.397633
275.99976,91.13525,21.141666,284.2501,37.056847
258.13046,62.83841,-12.951796,347.72784,36.7095
267.8402,67.46143,0.7622584,269.2344,39.045937
264.5225,66.12875,0.6756474,298.84125,40.5851
274.56247,82.43812,21.535027,286.75458,41.689568
282.4248,92.11248,36.003563,310.65714,47.60987
262.93378,74.8552,4.864124,310.56787,40.35286
248.92717,63.357403,-22.57826,362.5949,47.193523
272.5759,79.9125,5.4904895,295.5055,42.593636
276.5504,87.6308,17.375132,280.64197,39.366653
262.72586,70.7401,-6.059881,240.90097,24.14508
277.3287,11.982093,-38.327652,300.90933,45.490246
264.4102,73.332184,3.8573766,290.4618,38.84208
-1e+31,-1e+31,-1e+31,-1e+31,-1e+31
-1e+31,-1e+31,-1e+31,-1e+31,-1e+31
251.81154,63.569275,-14.036899,348.69855,41.64568
256.95602,46.61598,-17.867136,314.06854,38.669846
256.9645,65.99793,-7.7122483,378.38382,40.490047
254.6751,54.697548,-30.324305,287.64676,35.16736
260.14883,59.251152,-22.460567,350.4378,36.02807
266.7155,69.643425,-27.530098,355.8691,39.70062
254.23207,67.13204,-8.553094,341.083,39.0468
261.72867,63.400536,-18.354551,353.49542,38.907524
261.14023,71.82833,-12.856132,355.67447,39.648487
269.53748,72.15785,-19.267075,285.9138,32.190155
279.98352,80.79575,-26.882793,323.81512,41.067318
253.99539,64.48544,-14.985345,350.1067,39.10739
260.33868,82.81946,9.059334,340.9657,36.152515
259.56433,77.698654,-9.020927,355.56873,37.66424
256.8728,78.8737,4.9172506,354.02405,39.144085
259.0302,75.94875,-7.6926823,336.2149,38.67328
-1e+31,-1e+31,-1e+31,-1e+31,-1e+31
259.95844,66.66807,-23.778458,67.66113,13.666941
260.74716,61.24563,-21.399693,47.04555,9.772334
-1e+31,-1e+31,-1e+31,-1e+31,-1e+31
258.87894,77.81446,-1.0113069,322.03152,41.729866
264.11136,82.52611,-3.6857407,340.81857,40.402874
264.01303,75.001854,4.593298,352.12714,38.581512
265.62625,74.29363,6.1712933,349.7418,40.41998
267.18207,80.291084,3.9607708,339.3502,36.382755
271.96475,93.46513,24.314724,332.74603,44.08327
258.4765,72.21971,-15.805241,360.6324,38.5057
-1e+31,-1e+31,-1e+31,-1e+31,-1e+31
251.63136,60.458614,-13.859797,335.9762,38.899498
248.68361,70.15953,-13.979293,392.7815,46.120792
260.87607,59.602608,-26.837008,38.63794,7.777623
258.3045,69.72556,1.8875852,362.9289,39.477947
-1e+31,-1e+31,-1e+31,-1e+31,-1e+31
-1e+31,-1e+31,-1e+31,-1e+31,-1e+31
-1e+31,-1e+31,-1e+31,-1e+31,-1e+31
328.6413,41.24629,-30.570246,254.89388,52.53063
-1e+31,-1e+31,-1e+31,-1e+31,-1e+31
-1e+31,-1e+31,-1e+31,-1e+31,-1e+31
-1e+31,-1e+31,-1e+31,-1e+31,-1e+31
-1e+31,-1e+31,-1e+31,-1e+31,-1e+31
-1e+31,-1e+31,-1e+31,-1e+31,-1e+31
261.8498,88.97159,8.740271,326.8874,35.895744
261.49673,73.24179,-5.076536,293.81577,37.77478
263.84692,56.529613,2.2254956,246.2539,36.687397
-1e+31,-1e+31,-1e+31,-1e+31,-1e+31
-1e+31,-1e+31,-1e+31,-1e+31,-1e+31
-1e+31,-1e+31,-1e+31,-1e+31,-1e+31
-1e+31,-1e+31,-1e+31,-1e+31,-1e+31
-1e+31,-1e+31,-1e+31,-1e+31,-1e+31
-1e+31,-1e+31,-1e+31,-1e+31,-1e+31
266.45596,82.47759,-8.845797,294.78317,38.914642
-1e+31,-1e+31,-1e+31,-1e+31,-1e+31
259.22427,58.37161,-24.360727,309.02066,39.496647
-1e+31,-1e+31,-1e+31,-1e+31,-1e+31
-1e+31,-1e+31,-1e+31,-1e+31,-1e+31
-1e+31,-1e+31,-1e+31,-1e+31,-1e+31
-1e+31,-1e+31,-1e+31,-1e+31,-1e+31
-1e+31,-1e+31,-1e+31,-1e+31,-1e+31
-1e+31,-1e+31,-1e+31,-1e+31,-1e+31
-1e+31,-1e+31,-1e+31,-1e+31,-1e+31
-1e+31,-1e+31,-1e+31,-1e+31,-1e+31
